	年份	报告标题	披露时间	披露机构	攻击方法	组织别名	报告摘要
13	2020 (692)	UltraRank集团的新攻击	2020/12/23	Group-IB	['恶意代码']	暂无数据	2020年8月，IB集团发布了一份报告“UltraRank：JS嗅探器三重威胁的意外转折”。报告描述了网络犯罪组织UltraRank的运作情况，该组织在5年的活动中成功攻击了691家电子商务商店和13家网站服务提供商。
14	2020 (692)	拉扎鲁斯觊觎与COVID-19有关的情报	2020/12/23	securelist	['恶意软件']	暂无数据	随着COVID-19危机的继续，一些威胁行为体正试图通过任何可用的手段加速疫苗的研发。我们发现有证据表明，像拉扎鲁斯集团这样的行为体，正在通过攻击与COVID-19研究有关的实体来追踪有助于这些努力的情报。
15	2020 (692)	XavgMiner挖矿家族最新动向	2020/12/22	奇安信	['漏洞利用']	暂无数据	近日，奇安信安全能力中心通过TG-DATA威胁分析平台捕获到多起通过攻击Tomcat服务器投递挖矿病毒的威胁事件，通过溯源分析发现该团伙在2019年开始活跃。 攻击者使用最新的Weblogic漏洞CVE-2020-14882写入恶意的JSP文件，一旦运行即会从公共云存储平台下载矿机并运行，同时该攻击样本兼顾Windows和Linux双平台。运行过程中通过清除竞品使得获取最大化收益。 由于捕获到的攻击样本中存在一个xavg典型字符串，故我们将家族命名为XavgMiner。
16	2020 (692)	SystemdMiner、H2Miner挖矿木马利用相同的PostgreSQL漏洞攻击云服务器	2020/12/22	腾讯	"['木马后门', '漏洞利用']"	暂无数据	腾讯威胁情报中心检测到SystemdMiner、H2Miner两个挖矿团伙组合利用PostgreSQL的未授权访问漏洞和PostgreSQL提权代码执行漏洞（CVE-2019-9193）攻击云服务器。SystemdMiner、H2Miner均是目前流行的挖矿木马，擅长利用各类Web应用漏洞进行批量攻击传播。SystemdMiner入侵系统后会通过Socket5代理与C&amp;C服务器通信，下载挖矿木马init.x86_64，安装定时任务进行持久化。H2Miner会执行脚本pg2.sh，安装定时任务下载pg.sh，并进一步下载木马kinsing进行挖矿进程维持，以及进行端口扫描和Redis爆破攻击。
17	2020 (692)	MacOS用户当心！朝鲜黑客Lazarus的目标是虚拟货币交易用户	2020/12/22	teamt5	['木马后门']	APT-C-26	近日，TeamT5发现北韩APT组织Lazarus开发出macOS系统的恶意程序MovieRAT，并试图攻击虚拟货币的使用者，借此盗取帐户内的虚拟货币。MovieRAT是一个轻量级的后门程序，仅支持最基本的信息上传/下载，获取指令执行等操作。通常用于释放二阶段载荷。 经分析，TeamT5将此次活动与Lazarus联系起来。Lazarus为北韩黑客组织，拥有多起攻击金融产业的纪录，尤其针对SWIFT跨国转帐交易系统和ATM自动柜员机系统进行攻击。TeamT5推测其为了替北韩政权筹措资金发展武器与实验，所以多选择金融产业和具有关键技术的私人企业进行攻击。
18	2020 (692)	伪冒银行木马“BYL”持续入侵	2020/12/21	奇安信	"['鱼叉式网络钓鱼电子邮件', '木马病毒']"	暂无数据	2020年10月，奇安信威胁情报中心移动安全团队发布报告首次揭露了一个伪冒国内银行应用的的信息窃取木马新家族”BYL”。 2020年12月12日，奇安信威胁情报中心移动安全团队发现到攻击者开始更换网络资产展开新一轮传播，通过奇安信数据监测雷达我们发现到该木马家族短短四天（截至到2020年12月16日）国内影响量级已为千级，为避免更多用户个人财产受到损失，我们对其再次披露。
19	2020 (692)	研究机构Anomali Threat Research警告消费者:不要在这个节日期间使用比特币购买“孵化”的德国牧羊犬	2020/12/21	Anomali	['钓鱼网站']	暂无数据	在2020年12月初，Anomali Threat Research发现一个可疑网站（darlinggermanshepherds[.]com）声称在销售德国牧羊犬幼犬。该网站的设计有一点技巧，诈骗者从开放资源(Facebook，合法网站，维基百科)拍摄图片和文字，使他们的网站看起来更真实。研究人员分析了该网站，并找到了另外17个从事宠物欺诈的网站。这些网站在评论/推荐页面上都共享相似的文本，有时甚至完全相同，在推荐文本中也有很多错字。分析显示，宠物欺诈活动遍及多个网站和共享主机提供商，目标是通过欺诈性的宠物销售和服务获得不可退还的押金，支付方式包括比特币、PayPal、Zelle等。
20	2020 (692)	Fox Kitten使用pay2key勒索软件瞄准以色列公司	2020/12/20	clearskysec	['勒索软件']	暂无数据	威胁情报公司ClearSky称伊朗黑客利用Pay2Key瞄准以色列的公司。此次攻击活动发生于2020年11月到12月，或与伊朗黑客组织FoxKitten有关。 FoxKitten擅长使用各种开源和自主开发的攻击工具，通过目标企业的vpn以及F5 Networks的BIG-IP应用程序交付控制器(ADC)入侵。ClearSky称黑客针对以色列数十家工业、保险和物流公司，来安装勒索软件来加密服务器和工作站，以及发起供应链攻击。
21	2020 (692)		2020/12/18	TrendMicro	['暂无数据']	暂无数据	今年早些时候，趋势科技观察到网络犯罪组织TeamTNT使用XMRig加密货币矿工攻击暴露的Docker API。TeamTNT使用窃取Amazon Web Services（AWS）secure shell（SSH）凭证和用于传播的自我复制行为开展攻击。 TeamTNT的最新攻击涉及到该组织自己的IRC（互联网中继聊天）bot。IRCbot被称为TNTbotinger，能够进行分布式拒绝服务（DDoS）。
22	2020 (692)	中国网络间谍渗透印度企业使用的businesses	2020/12/18	Seqrite	"['恶意软件', '远程控制']"	暂无数据	印度研究人员发现，几个月前，基于delphi的恶意软件利用SMB漏洞传播。该恶意软件使用的有效负载与开源Gh0stRAT代码有密切的相似之处。Gh0st是一个远程访问木马，具有多种功能，如键盘记录、麦克风监视、从远程服务器下载和执行有效负载、重启计算机、获取系统的远程外壳等。观察到这个恶意软件的目标包括印度相关行业的重要机构，如银行、铁路、牛奶经销商、医院和药品、农业产业、食品生产行业。
23	2020 (692)	证件窃贼的目标是我们，加拿大的银行客户	2020/12/17	TrendMicro	['木马后门']	暂无数据	12月中旬，Trendmicro研究人员发现了一个分发凭证窃取软件的活动。美国和加拿大金融机构的客户是这次攻击的主要目标之一，包括丰业银行，加拿大皇家银行，汇丰银行等，同时还包括印度工业信贷投资银行。这次攻击活动的主要代码组件是用AHK语言编写的。AutoHotkey是Microsoft Windows的一种开源自定义脚本语言，旨在为宏创建和软件自动化提供简单的热键，允许用户在任何Windows应用程序中自动执行重复的任务。其多阶段感染链从嵌入了恶意软件的Excel文件开始，该文件嵌入了Visual Basic for Applications（VBA）AutoOpen宏，该宏随后用于通过合法文件删除并执行下载程序客户端脚本adb.ahk 和可执行文件adb.exe。下载器客户端脚本还负责实现持久性，分析受害者，以及从位于美国，荷兰和瑞典的命令和控制（C＆C）服务器下载并运行其他AHK脚本。该恶意软件与众不同的是，它下载并执行AHK脚本以完成不同的任务，而不是直接从C＆C服务器接收命令，通过这样做，攻击者可以决定上传特定的脚本来为每个用户或用户组实现自定义任务。
24	2020 (692)	典当风暴作为一种策略缺乏成熟性	2020/12/17	TrendMicro	"['远控木马', '恶意软件']"	暂无数据	2020年，Pawn Storm黑客组织传播了Google云端硬盘和IMAP远程访问木马（RAT）进行网络攻击，目标群体包括外交部、大使馆、国防工业和军事部门以及世界各地的各行业。该组织还通过网络攻击窃取公司电子邮件帐户的凭据，还利用IMAP RAT恶意软件对军方和政府相关的电子邮件地址进行了硬编码，与计算机进行通信。最近，挪威当局宣布Pawn Storm黑客组织通过网络攻击入侵了挪威议会 。 在12月上旬，该组织使用VPN服务连接到受感染的云服务器，使用云服务器连接到商业电子邮件服务提供商，登录到阿曼一家养鸡场的受感染电子邮件帐户，向全球目标发送了网络钓鱼垃圾邮件。这表明Pawn Storm黑客在多个级别上模糊了其攻击轨迹。 中东各种受感染电子邮件帐户的滥用始于2019年5月，并一直持续到今天。自2020年8月以来，他们不再发送网络钓鱼电子邮件，而是利用IMAP RAT中受损系统进行通信。
25	2020 (692)	勒索软件操作员使用SystemBC RAT作为现成的后门	2020/12/16	SOPHOS	['恶意软件']	暂无数据	SystemBC是一个商业恶意软件后门，它已经演变成一个Tor代理和远程控制工具，受到了最新高调勒索软件活动背后参与者的青睐。
26	2020 (692)	中招目标首次披露：SolarWinds供应链攻击相关域名生成算法可破解！	2020/12/16	奇安信	['供应链攻击']	暂无数据	近日，全球最著名的网络安全管理软件供应商SolarWinds遭遇国家级APT团伙高度复杂的供应链攻击并植入木马后门[1][2]。该攻击直接导致使用了SolarWinds Orion管理软件某些版本的企业客户全部受到影响：可任由攻击者完全操控。同时，SolarWinds在其官网发布安全通告称，受影响的产品为2020年3月至2020年6月间发布的2019.4到2020.2.1版本的SolarWinds Orion管理软件，并表示约有18000名客户下载使用了受影响的软件产品，但攻击者并未对所有使用者采取进一步的攻击行动，而仅选择感兴趣的目标开展后续攻击活动。
27	2020 (692)	旺刺组织（APT-C-47）使用ClickOnce技术的攻击活动披露	2020/12/16	奇安信	"['恶意软件', '钓鱼邮件']"	暂无数据	ClickOnce是近年来微软发布的一种软件部署技术，它可以创建基于Windows的自更新应用程序，让这些应用程序可以在用户交互最少的情况下安装和运行。2019年的美国Blackhat大会上，美国国土安全部所属CISA局的攻防专家曾公布了利用最新的ClickOnce扩展文件（.appref-ms）进行恶意攻击的技术原理。该攻击方式区别于常规的恶意软件植入，由于微软设计的安装交互方式，使其非常容易被用于诱导安装恶意软件。
28	2020 (692)	【伏影实验室】SOLARWINDS供应链攻击事件分析	2020/12/16	绿盟	"['木马后门', '供应链攻击']"	暂无数据	SolarWinds是一家国际IT管理软件供应商，其Orion软件更新服务器上存在一个被感染的更新程序，这导致美国多家企业及政府单位网络受到感染，根据软件装机量来看，目前该事件对国内影响较小。 此次供应链攻击事件引发的关联事件是12月8日Fireeye发布被黑客攻击公告，可能泄露了一系列用于评估的网络安全测试工具。12月13日，Fireeye发布公告，证实入侵事件是因为SolarWinds公司软件更新包中存在后门。与该后门相关的事件被Fireeye称为UNC2452，目前并未指出其与已知APT组织的关联。
29	2020 (692)	Lookout发现了性侵犯者用来勒索iOS和Android用户的新间谍软件	2020/12/16	Lookout	"['恶意软件', '勒索软件', '间谍软件', '网络间谍', '间谍活动']"	暂无数据	Lookout威胁情报团队发现了一种针对中文国家，韩国和日本的iOS和Android用户的新型移动应用程序威胁。我们将其命名为Goontact的间谍软件针对通常提供护送服务的非法站点的用户，并从其移动设备中窃取个人信息。用于分发这些恶意应用程序的网站类型和泄露的信息表明，最终目的是勒索或勒索。
30	2020 (692)	TeamTNT挖矿团伙升级优化木马模块，木马持续改进有危害扩大迹象	2020/12/15	腾讯	"['恶意扫描', '木马后门']"		最近，腾讯安全威胁情报中心再次发现TeamTNT挖矿木马变种更新，新变种对数据回传和横向移动的模块代码进行升级优化。TeamTNT挖矿团伙通过批量扫描公网上开放2375端口的云服务器，并尝试利用Docker Remote API未授权访问漏洞对云服务器进行攻击。TeamTNT在成功入侵云服务器后，会隐藏进程，通过安装定时任务持久化，并收集主机上的隐私数据（如主机用户名和密码、RSA登录凭证、AWS CLI跨账户授权信息、docker配置信息）上传到C2服务器。与此同时，为了控制更多肉鸡系统，增加挖矿收益，TeamTNT团伙还利用SSH复用连接进行横向移动以感染更多服务器。新变种的主要改进有以下几点：代码结构进行了调整，功能模块更加清晰明了；更新C2地址，并将恶意模块下载和数据回传合并为同一C2；受害主机隐私数据拆分为多个文件独立上传，并附带受害主机公网IP地址信息。
31	2020 (692)	SolarWinds供应链攻击事件最全IOC	2020/12/15	奇安信	['供应链攻击']	暂无数据	奇安信威胁情报中心于近日发布了一篇关于美国著名网络安全公司FireEye披露的流行网管软件厂商SolarWinds供应链攻击事件通告。 链接：https://mp.weixin.qq.com/s/ms7u5PtvU36M3aYbTo2F5A 今天，除了微软和FireEye以外，国外安全厂商Volexity也发布了一篇此团伙（Volexity将其命名为DarkHalo）的其他攻击活动的分析文章，揭露了相关团伙更多的攻击活动，同时给出了进一步的IOC信息。
32	2020 (692)	落鹰行动-史上影响力最大的供应链攻击行动揭秘	2020/12/15	360	"['木马后门', 'APT攻击']"	暂无数据	美国时间2020年12月13日，据外媒报道美国多个重要政府机构遭受了国家级APT组织的攻击入侵，攻击疑似是由于基础网络管理软件供应商SolarWinds的产品缺陷导致。相关新闻报道后不久，美国网络安全公司FireEye和微软公司相继发布技术分析报告，披露了国家级APT组织针对SolarWinds产品供应链攻击，对相关软件植入的后门组件进行了技术分析。同时SolarWinds官方发布安全公告，公告该公司的SolarWinds Orion平台软件在2020年3月至6月之间发布的2019.4 - 2020.2.1版本，遭受了高度复杂的供应链攻击，提醒用户检查升级最新版本。 根据SolarWinds公司官网的客户介绍页显示，该公司的客户包括美国财富500强企业、美国所有前十大电信业者、美军所有五大部队、美国国务院、国家安全局，以及美国总统办公室等。该信息从侧面透露了，美国的核心企业、军事机构和政府机构已经遭受了史上最严重的APT攻击，美国的众多重要机构都已经被国家级APT组织入侵。 在此次攻击事件曝光的第一时间，360威胁情报中心国内首家对此攻击事件进行了精准的研判和预警。同时，360高级威胁研究分析中心依靠360安全大脑的全网遥测分析能力还原了此次攻击行动的详细过程，并将此次攻击行动命名为“落鹰行动”。本报告将揭秘分析史上影响力最大的供应链攻击行动。
33	2020 (692)	流行网管软件厂商SolarWinds供应链攻击事件通告	2020/12/14	奇安信	"['网站篡改', '伪造证书']"	暂无数据	SolarWinds官网发布通告称，SolarWinds刚刚意识到他们的系统在2020年3月至2020年6月之间发布的SolarWinds?Orion?Platform（软件版本2019.4至2020.2.1）上经历了高度复杂的手动供应链攻击。他们被告知此攻击由外部国家/地区攻击者发起，而且攻击不具备广泛性，仅针对特定用户进行手动攻击。
34	2020 (692)	除了kitchen sink之外的所有东西：更多来自Gitpaste-12虫蠕的攻击	2020/12/14	juniper	"['僵尸网络', '漏洞利用', '木马后门', '恶意扫描']"	暂无数据	研究人员监测到Gitpaste-12僵尸网络第二波攻击活动，开始于2020年11月10日左右，通过GitHub和Pastebin进行传播，以在目标系统上安装加密货币矿工和后门程序，并且增加攻击范围，可以破坏Web应用程序，IP摄像机和路由器。使用的有效负载来自于GitHub存储库，其中包括一个Linux加密矿工，该恶意软件包含用于暴力破解的密码列表，以及x86_64 Linux系统上的本地特权升级漏洞CVE-2019-13272。研究人员发现该蠕虫至少针对31个已知漏洞，涉及最近一年发现的远程代码漏洞F5 BIG-IP流量管理用户界面（CVE-2020-5902），Pi-hole Web（CVE-2020-8816），Tenda AC15 AC1900（CVE-2020-10987），vBulletin（CVE-2020-17496），以及FUEL CMS中的SQL注入漏洞（CVE-2020-17463）。除了在机器上安装初始感染负载X10-unix（Go语言二进制文件）和Monero加密挖掘软件外，该恶意软件还打开监听30003和30006端口的后门，将受害者的外部IP地址上传到私有Pastebin，并尝试通过5555端口连接到Android Debug Bridge上。成功连接后，X10-unix运行一个脚本，该脚本上传以base64编码的本机二进制文件（blu）和Android APK（weixin.apk）。blu探测设备的蓝牙硬件并安装APK，APK将设备的IP地址上传到上述的Pastebin，然后下载并安装ARM CPU版本的X10-unix。
35	2020 (692)	PyMICROPSIA：来自AridViper的新型信息窃取木马	2020/12/14	paloalto	"['木马后门', '远控木马', '木马病毒']"	暂无数据	Unit 42的研究人员一直在追踪威胁组织AridViper，该组织一直瞄准中东地区。作为这项研究的一部分，已经确定了一种新的与MICROPSIA恶意软件家族有关的信息窃取木马。研究人员将这个新的恶意软件家族命名为PyMICROPSIA，因为它是用Python构建的。PyMICROPSIA具有丰富的信息窃取和控制功能，包括文件上传、有效载荷下载和执行、浏览器凭证窃取、清除浏览历史和配置文件、截图和键盘记录、压缩RAR文件以获取被盗信息、收集进程信息并终止进程、收集文件列表信息并删除文件、重新启动计算机、收集Outlook .ost文件并终止和禁用Outlook进程、从USB驱动器收集信息。
36	2020 (692)	SideWinder APT的全球视角	2020/12/11	General Dynamics Fidelis Cybersecurity	['木马后门']	暂无数据	AT&amp;T Alien实验室发现了一系列SideWinder针对南亚和东亚地区政府和企业的持续攻击活动，时间主要集中在2017年至今。SideWinder典型攻击方式为针对特定目标进行钓鱼活动。根据目标、活动时间、C2基础设施和恶意软件的技术特征、与已知的印度APT的关联，以及历史网络威胁情报报告分析，分析认为该组织为支持印度的政治利益而运作。
37	2020 (692)	研究人员发现基于Linux的挖矿僵尸网络PGMiner	2020/12/10	unit 42	"['漏洞利用', '远程命令执行', 'RCEyxel', 'RCERedis', '零日漏洞', '代码执行', '挖矿', '远程控制', '僵尸网络', 'PostgreSQL']"	暂无数据	最近，Unit 42研究人员发现了一个新的基于Linux的加密货币挖掘僵尸网络，该僵尸网络利用了一个有争议的PostgreSQL远程代码执行（RCE）漏洞，该漏洞会危及数据库服务器进行挖矿活动。研究人员根据其传输通道和挖矿行为将其命名为“ PGMiner”。PGMiner的核心是尝试连接到开采池进行Monero开采。研究人员认为PGMiner是第一个通过PostgreSQL交付的加密货币挖掘僵尸网络。值得注意的是，恶意软件操控者不仅已开始对已确认的CVE进行武器化，而且还对有争议的CVE也进行了武器化。
38	2020 (692)	PGMiner：通过PostgreSQL交付的新加密货币挖掘僵尸网络	2020/12/10	unit 42	"['僵尸网络', '漏洞利用', '木马后门']"	暂无数据	PostgreSQL，也称为Postgres，是用于生产环境的最常用的开源关系数据库管理系统（RDBMS）。最近，研究人员发现一款加密货币挖掘僵尸网络正在通过PostgreSQL进行传播，该僵尸网络被命名为PGMiner。PGMiner重组了SystemdMiner恶意家族的特点，主要有以下变化：在代码启动后立即删除PostgreSQL表，以实现无文件执行；收集系统信息并将其发送到命令和控制（C2）服务器以识别受害者；模拟“tracepath”进程以隐藏其存在；尝试杀死竞争对手的程序以更好的获利。攻击者尝试使用数据库的默认用户和内置密码进行暴力破解攻击，以获取身份验证凭据。一旦成功，恶意软件将使用PostgreSQL的“从程序复制”功能下载并启动硬币挖掘脚本。该功能允许本地或远程超级用户直接在服务器上运行Shell脚本，该功能被认为是漏洞（CVE-2019-9193）。
39	2020 (692)	njRAT通过活动的Pastebin指挥控制隧道传播	2020/12/9	unit 42	['木马后门']	暂无数据	研究人员发现攻击者一直在利用远程访问木马njRAT（也称为Bladabindi）从知名网站Pastebin下载并提供第二阶段有效载荷，以匿名存储数据。利用此服务，恶意软件可以通过缩短的URL访问这些恶意数据，从而使攻击者避免使用自身命令和控制(C2)基础设施。托管数据涉及不同形式，包括传统的base64编码，十六进制，JSON数据，压缩的blob以及带有嵌入式恶意URL的纯文本数据。
40	2020 (692)	Domestic Kitten组织（APT-C-50）针对中东地区反政府群体的监控活动	2020/12/9	360	['恶意软件']		360威胁情报中心观察到Domestic Kitten组织发起的攻击行动，攻击活动中使用了移动端攻击武器，伪装成居鲁士大帝和Mohsen Restaurant相关APP，该恶意软件从代码结构和功能上与商业监控软件KidLogger高度相似。攻击活动中发现了一名活动在中东某国的疑似受害者，其可能参与了反政府相关活动。
41	2020 (692)	俄罗斯斑马用的诱饵	2020/12/9	INTEZER	"['鱼叉式网络钓鱼电子邮件', '诱饵文件']"	APT28SofacySednitAPT-C-20STRONTIUM奇幻熊Sofacy	Intezer研究人员在11月发现用于交付Go版本Zebrocy的COVID-19网络钓鱼诱饵。Zebrocy主要用于针对从事外交事务的政府和商业组织。诱饵包括有关国药国际公司的文件和印度民用航空总局的虚假撤离信，国药国际公司是一家正在生产COVID-19疫苗的制药公司，目前正在进行三期临床试验。 诱饵文件是作为虚拟硬盘（VHD）文件的一部分提供的，该文件要求受害者使用Windows 10访问这些文件。一旦用户双击该文件，则将安装该驱动器，并显示为外部硬盘驱动器。VHD文件包括两个文件，一个PDF文档和一个伪装成Microsoft Word文档的可执行文件。PDF文件包含有关国药控股国际公司的演示幻灯片。第二个文件是恶意软件，即用Go语言编写的Zebrocy。
42	2020 (692)	SideWinder利用南亚问题进行网络钓鱼和移动攻击	2020/12/9	TrendMicro	['暂无数据']	T-APT-04响尾蛇	趋势科技最近发现了SideWinder组织用于传播恶意LNK文件并托管凭据的多个网络钓鱼页面服务器。该组织的目标主要包括在尼泊尔和阿富汗的多个政府和军事单位。发送收集的凭据后，某些网络钓鱼页面会将受害者重定向到其他文档或新闻页面。这些页面和文档的主题与Covid-19或尼泊尔，巴基斯坦，印度和中国之间最近的领土争端有关。
43	2020 (692)	FireEye红队工具IOC披露	2020/12/8	奇安信	['暂无数据']	暂无数据	2020年12月8日，美国著名网络安全公司FireEye发布通告称，其被国家级APT组织入侵，并窃取了其红队在进行渗透测试过程中使用的工具合集。并提到了该国家级APT组织主要目的是查看火眼的客户资料，同时有新闻报道称FBI将此事件交给对俄分析专家组。
