,类型,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
10,攻击活动分析报告 (181),加沙黑客组织Molerats最新活动，目标为政府和电信组织,2020/3/3,暂无数据,['钓鱼邮件'],暂无数据,Paloalto研究人员在2019年10月至2020年1月期间，观察到多次与加沙黑客组织Molerats有关的网络钓鱼攻击活动，目标主要是政府，电信，保险和零售行业，涉及六个不同国家的八个组织。所有这些攻击都使用鱼叉式网络钓鱼电子邮件传递恶意文档，这些恶意文档要求收件人执行某些操作。社会工程技术包括使用引诱图像，诱骗用户运行宏，或者启用文档内容，这些内容有可能释放危害性图片，以迫使用户单击链接以下载恶意负载。攻击中的大多数有效载荷是Spark后门，Spark允许攻击者在受感染的系统上打开应用程序并运行命令行命令。经过对比分析，研究人员发现2019年10月和2020年1月的文档有所不同，因为前者试图下载VBScript，该VBScript从攻击者控制的服务器下载有效负载，而2020年1月的文档试图从Google Drive加载远程模板，其宏试图从Google Drive下载有效负载。
11,攻击活动分析报告 (181),Cloud Snooper攻击绕过防火墙安全措施,2020/2/25,暂无数据,['暂无数据'],暂无数据,SophosLabs研究人员在Amazon Web Services(AWS)云中的云基础架构服务器上发现一种复杂的攻击，该攻击采用独特的技术组合逃避检测，并允许恶意软件绕过防火墙与C2服务器通信。攻击者通过发送特别构造的数据包，然后利用该攻击的核心部分snd_floppy重构C2命令包来触发有效负载snoopy，snd_floppy内核模块使用Netfilter钩子设置网络数据包过滤器，在入站流量到达web服务器之前检查，拦截特制的请求。研究人员还发现snd_floppy的功能不仅限于在Amazon云中执行rootkit操作：它还可以用于与任何边界防火墙后的任何服务器(甚至是本地服务器)上的恶意软件进行通信并对其进行远程控制。snoopy是一种后门特洛伊木马程序，既可以作为命令行工具又可以作为守护程序执行。后门的内部版本为3.0.1-2.20170303，其在受感染的系统上打开HTTP或DNS服务，允许对流量进行隧道传输，并作为反向SOCKS5代理服务器和客户端运行，其会以明文形式存储调试信息，调试消息仅用于恶意软件测试阶段，一些调试信息为中文。除此之外，还发现攻击者使用Linux和Windows版本的Gh0st RAT后门。
12,攻击活动分析报告 (181),Muhstik僵尸网络新变种， 增加扫描器暴力攻击Tomato路由器,2020/1/21,暂无数据,['暂无数据'],暂无数据,"2019年12月5日,Unit 42研究人员发现了Muhstik僵尸网络的一个新变种，它增加了一个扫描器，首次通过网络认证暴力攻击Tomato路由器。 Muhstik僵尸网络自2018年3月以来一直存活，具有类似蠕虫的自我传播能力，可感染Linux服务器和物联网设备。Muhstik使用多个漏洞来感染Linux服务，如Weblogic、WordPress和Drupal。它还攻击物联网路由器，如GPON家庭路由器和DD-WRT路由器。这次的新变种通过感染Tomato路由器来扩展其僵尸网络。目前网上曝光的Tomato路由器有4600多台。在Muhstik僵尸网络攻击路由器后，研究人员并没有在Tomato路由器中发现进一步的恶意活动，但从Muhstik僵尸网络的历史活动来看，Muhstik主要是在物联网设备中挖掘加密货币和发起DDoS攻击来赚取利润。"
13,攻击活动分析报告 (181),土耳其反华Hacker组织“图兰军”攻击网站活动分析及攻击网站列表,2020/1/17,暂无数据,['暂无数据'],暂无数据,近期，土耳其反华黑客组织“图兰军”成员在某黑客论坛公开发布信息，煽动土耳其黑客针对我境内网站发起攻击，以实际行动表明对“东突厥斯坦”的支持。目前，已监测发现我国包括北京、上海、浙江的多个公司或机构的网站页面被攻击篡改，上传反动宣传图片。
14,攻击活动分析报告 (181),JhoneRAT：针对中东国家的基于云的python远控木马,2020/1/16,暂无数据,['暂无数据'],暂无数据,"思科Talos实验室发现一种新的远控木马，被称为""JhoneRAT""。该木马通过恶意Microsoft Office文档传播，文档包含CVE-2017-0199漏洞利用代码，用于下载和执行Google云端硬盘上的三个不同的模板，然后下载的恶意宏模板再从其他云盘下载有效负载，包括JhoneRAT。JhoneRAT通过检查被感染系统的键盘布局筛选目标，包括沙特阿拉伯、伊拉克、埃及、利比亚、阿尔及利亚、摩洛哥、突尼斯、阿曼、也门、叙利亚、阿联酋、科威特、巴林和黎巴嫩。其使用三种不同的云服务来进行C2活动，使用BeautifulSoup HTML解析器每10秒检查一次@ jhone87438316(已被Twitter关闭)句柄中的推文中是否有新命令，这些命令可以根据UID信息发送给特定的受害者。JhoneRAT木马具备的功能包括：截屏功能，并将结果上传到ImgBB；从Google云端硬盘下载伪装成图片的二进制文件并执行；执行命令并将输出发送到Google Forms。攻击者通过检查磁盘序列号和删除Python字节码标头来反虚拟机、反反编译器。该活动从2019年11月开始，目前仍在进行中。"
15,攻击活动分析报告 (181),“折纸”行动：针对南亚多国军政机构的网络攻击,2020/1/15,暂无数据,"['钓鱼邮件', '社会工程学', '钓鱼网站', '木马后门']",幼象,在过去的2019年，安天CERT（应急响应中心）继续关注相关威胁来源方向，接连捕获多批针对南亚多国军事、政府和教育等实体的攻击样本，且样本之间存在一定关联，攻击者带有明显窃密意图，受害者集中于巴基斯坦，少量分布在孟加拉、斯里兰卡和马尔代夫等南亚国家。根据当前观测数据，攻击者投递的诱饵文件形态丰富，诱饵的主题涉及军情事务、地缘争端、核武器、区域会议等重要话题，攻击者所使用的木马武器既有开源工具、也有自研工具，包括其中一种通过U盘摆渡机制，突破内网隔离以获取内网数据的木马。这一系列的攻击活动至少在2017年7月已经开始，迄今仍保持活跃。通过溯源分析，这些攻击样本来自被安天命名为“幼象”的组织（考虑到组织攻击手法简单、载荷还不成熟等特点，因此我们命名为“幼象”），其手法和装备与“白象”组织有一定差异，同时我们判断该组织与友商命名为“响尾蛇”的攻击组织存在关联。根据攻击者擅长依托少量资源伪装变换的特点，我们将这系列攻击活动命名为“折纸”行动（Operation PaperFolding）。
16,攻击活动分析报告 (181),Marco Ramilli发布针对伊朗APT组织的分析报告,2020/1/15,暂无数据,['暂无数据'],APT33ElfinMuddyWaterAPT34OilRigCopyKittensCleaverTG-2889,Marco Ramilli研究人员发布了针对伊朗APT组织的初步分析报告，其基于MITER ATT＆CK和Malpedia介绍了组织之间的相互关系。OilRig组织主要在中东开展活动，目标是该地区各行各业的组织，偶尔也会将目标锁定在中东以外的组织。OilRig也会进行供应链攻击。OilRig使用Mimikatz和laZagne等开源工具，Microsoft发行版或sysinternals上可用的常见sysadmin工具集。MuddyWater组织主要针对中东国家，同时也针对欧洲和北美国家。该组织的受害者主要是电信，政府（IT服务）和石油部门。目前只有Powerstats后门才被归因于该组织。APT33组织至少从2013年开始运营，目标是美国、沙特阿拉伯和韩国的多个行业的组织，其TTP非常接近MuddyWater。CopyKittens是至少从2013年就开始运作，目标国家包括以色列、沙特阿拉伯、土耳其、美国、约旦和德国，其使用CobaltStrike工具，在Windows和IOS上使用了代码签名。Cleaver组织，负责Cleaver行动，强有力的间接证据表明Cleaver与组织2889 (TG-2889)有关。
17,攻击活动分析报告 (181),安全厂商发布APT-C-37和Molerats的分析报告,2020/1/15,暂无数据,"['远控木马', '鱼叉式网络钓鱼电子邮件']",Gaza CybergangAPT-C-37拍拍熊,Alien Labs对Molerats和APT-C-37组织2019年活动及其二者的关联性进行了分析。APT-C-37（又称Pat-Bear或叙利亚电子军团SEA），于2015年10月首次被披露，其目标是恐怖组织的成员。APT-C-37的目标范围逐渐扩展到政府机构、武装部队领导、媒体组织、政治活动家和外交官，主要针对西方国家受害者，目的是破坏其网站和社交帐户，在入侵其中一名受害者后留下足迹。APT-C-37使用流行的商业远控木马来针对Windows和Android系统。Molerats组织自2012年以来开始活跃，据称Molerats是Gaza Cybergang Group1，其大量使用流行的远控木马。这两个组织都针对中东和北非地区（特别侧重于巴勒斯坦领土），二者都通过使用网络钓鱼电子邮件来接近受害者，邮件包含诱饵文件（大多数为阿拉伯文），并且包含有关该地区政治局势的主题。
18,攻击活动分析报告 (181),安全厂商发布被称为SectorD的系列小组活动总结,2020/1/14,暂无数据,['暂无数据'],暂无数据,ThreatRecon团队发布了其2019年所发现的称为SectorD的系列小组活动，对发现的15个SectorD子组进行总结。SectorD系列小组针对与某个国家的政治对抗有关的国家进行了黑客活动，最近的黑客活动的目的是收集高级信息，例如与特定政府对立的人民或国家的政治和外交活动。SectorD系列小组经常对其中东和美国的邻国进行黑客攻击，主要针对企业、大学、IT公司、研究所、能源行业。他们将恶意文档附加到鱼叉式网络钓鱼电子邮件中，并使用已知漏洞进行攻击。在15个小组中，SectorD02小组的活动是在19年最突出，其次是SectorD01和SectorD12小组。
19,攻击活动分析报告 (181),伊朗向美国发起的网络攻击历史活动汇总,2020/1/9,暂无数据,['暂无数据'],APT33ElfinMuddyWaterAPT34OilRigDarkhotelDarkhotelAPT-C-06,paloalt对来自伊朗的高级威胁做个详细的描述，报告APT组织，APT组织的攻击活动，TTP 战法对应的ATTCK 、详细的IOC 信息等
20,攻击活动分析报告 (181),黑客组织TA428新活动，利用Poison Ivy RAT,2020/1/9,暂无数据,['暂无数据'],暂无数据,研究人员近期发现了一个创作日期2020年1月6日和标题为“ Swuleimani的去世将如何影响印度和巴基斯坦.doc”的可疑文件。研究发现，该文档为RTF格式，并具有与公式编辑器相关的OLE对象。 该对象旨在利用CVE-2018-0798漏洞来感染某种恶意软件， 在此例中是在用户的“％TEMP％”文件夹中写入名为8.t的二进制文件。恶意负载包含一个打包版本的Poison Ivy RAT样本。研究者发现，该恶意文件与疑似来自中国的黑客组织TA428有关：攻击模式类似且基础设施部分重叠。
21,攻击活动分析报告 (181),APT34利用PowDesk，攻击桌面管理软件LANDesk用户,2020/1/9,暂无数据,['暂无数据'],暂无数据,PowDesk是一种简单的基于PowerShell的恶意软件，攻击目标是运行LANDesk Management Agent的主机。据分析，背后攻击组织为APT34。该恶意软件兼容32位和64位系统，而存储在C2服务器上的PHP页面暴露了受感染计算机的名称。该恶意软件与该组织先前报告的名为QUADAGENT的恶意软件具有相似功能，但在此次对使用LANDesk Agent的公司的攻击中，PowerShell代码尚未进行编码或加密，这使得可以以明文形式读取命令。此外，与QUADAGENT恶意软件通过DNS隧道与C2服务器进行通信相比，PowDesk通过HTTP协议和PHP页面与C2服务器交换信息。
22,攻击活动分析报告 (181),Lazarus开展针对加密货币的后续AppleJeus行动,2020/1/8,暂无数据,['恶意软件'],APT-C-26,卡巴斯基研究人员发现了Lazarus组织针对加密货币领域的后续AppleJeus行动。在该后续活动中，Lazarus开发了自定义macOS恶意软件，其使用Object-C框架，托管在GitHub上，并添加了一种身份验证机制，在不接触磁盘的情况下加载下一阶段有效载荷。针对Windows用户目标时，Lazarus建立了wfcwallet的虚假网站，并制定了多阶段感染程序，感染始于.NET恶意软件，其伪装成WFC钱包更新程序，执行后，将模仿连接到C2地址的钱包更新程序。然后，攻击者使用RasMan Windows服务通过持久性机制下载有效载荷。研究人员目前发现了在英国、波兰、俄罗斯和中国的几名受害者，大多都与加密货币业务实体有关。
23,攻击活动分析报告 (181),钓鱼活动仿冒俄独联体门户网站，进行金融欺诈,2020/1/7,暂无数据,['暂无数据'],暂无数据,Cofense发现一起网络钓鱼活动，该活动仿冒俄独立国家联合体(CIS)一个合法的组织门户网站，内容为提供卢布补偿，附件为恶意的PDF文档，该文档包含指向钓鱼网站的链接。钓鱼页面要求访问者提供银行卡号和Voila(加密货币令牌)，然后系统会提示访问者支付随机产生的费用，然后再获得补偿，为了增加真实感，该站点每30s至60s就会生成弹窗以通知访问者已经获得补偿。在该活动中，所有已知的域名都拥有有效证书，注册时间在2019年11月19日至12月1日之间，同时域开放目录下包含可访问的网络钓鱼工具包FKG.zip。该活动钓鱼邮件绕过了微软的EOP安全电子邮件网关，并且成功欺骗了一家知名金融机构。
24,攻击活动分析报告 (181),基于Go的LiquorBot，整合加密货币挖矿功能,2020/1/7,暂无数据,['暂无数据'],暂无数据,"Bitdefender安全研究人员从2019年5月起，跟踪了一个加密采矿僵尸网络LiquorBot，该僵尸网络主要攻击未打补丁的路由器，可利用少量关键漏洞(CVE-2015-2051, CVE-2016-1555, CVE-2016-6277) ，并针对多个CPU体系结构。LiquorBot用Go（也称为Golang）编写，与传统的C风格代码相比，它具有一些编程优势，例如内存安全性，垃圾回收，结构化类型，甚至是CSP风格的并发。 LiquorBot似乎与Mirai相关变种共享C2服务器，甚至在dropper脚本中也体现出相同特征，这意味着攻击者在各种活动中可同时使用LiquorBot和Mirai变种。 研究者将其主要特征总结为：重新实现用Go语言编写的Mirai；交叉编译为几种架构（ARM，ARM64，x86，x64，MIPS）；整合了加密货币挖矿功能；通过SSH暴力破解进行传播并利用某些路由器模型中的未修补漏洞。"
25,攻击活动分析报告 (181),历年移动恶意软件和APT间谍活动总结：多产，隐蔽和跨平台,2020/1/2,暂无数据,['暂无数据'],Confucius,BlackBerry研究人员发布报告分析了APT组织利用移动平台开展间谍活动的情况，披露了已知和新发现的APT组织进行的几次新的攻击活动。重点包括：黑客攻击组织WINNTI，以针对全球游戏公司，制药巨头，工业制造，化工公司和美国国防相关企业的桌面恶意软件活动而闻名；另一个疑似来自中国的APT组织，被称为REAVER（又名SUTR），其攻击活动涉及台式机恶意软件以及一系列针对西方经济和政府间谍活动目标；其他一些与中国相关的APT组织也与其相关，有LOTUS BLOSSOM和SCARLET MIMIC； 研究人员关注的另一重点是跨平台（移动和桌面恶意软件）间谍活动。新近确定的来自中国的APT组织，黑莓研究人员将其称为BBCY-TA2，其攻击活动利用了新发现的适用于Android和Windows的恶意软件家族，被命名为PWNDROID3和PWNWIN1。该黑客组织从事经济间谍活动，其目标包括西方和南亚地区(除中国以外的)的电信和化学制造领域的主要企业，特别是德国、美国和加拿大。
26,攻击活动分析报告 (181),游荡于中巴两国的魅影——响尾蛇(SideWinder) APT组织针对巴基斯坦最近的活动以及2019年该组织的活动总结,2020/1/1,暂无数据,"['恶意软件', '漏洞利用', '木马后门', '恶意邮件']",T-APT-04响尾蛇,"Gcow安全团队追影小组于2019年11月份捕获到名为SideWinder(响尾蛇)组织针对巴基斯坦的活动,介于该组织主要针对巴基斯坦和中国以及其他东南亚国家,且其于10月份时候针对中国部分国防重要行业进行类似手法的攻击活动,为了更好了解对手的攻击手段以及加以防范,团队将以最近的样本为契机来总结该组织为期一年的攻击活动. 响尾蛇（又称SideWinder、T-APT-04）是一个背景可能来源于印度的APT组织,该组织此前已对巴基斯坦和东南亚各国发起过多次攻击, 该组织以窃取政府，能源，军事，矿产等领域的机密信息为主要目的。此次的攻击事件以虚假邮件为诱饵，利用Office远程代码执行漏洞（cve-2017-11882）或者通过远程模板注入技术加载远程URL上的漏洞文件.在针对于巴基斯坦的攻击中我们发现了Lnk文件的载荷,其主要驱动是mshta.exe，攻击者通过各种方式以达到伪装的目的"
27,攻击活动分析报告 (181),微软起诉朝鲜APT组织Thallium，并接管其使用的50个域名,2019/12/31,暂无数据,['暂无数据'],Thallium,最近，微软起诉了黑客组织Thallium，并成功接管了该组织运营的50个威胁域。Thallium是一个来自于朝鲜的攻击组织，通常使用鱼叉式网络钓鱼技术针对包括政府、高等院校等目标，大多数目标位于美国、日本和韩国。该组织至少从2018年5月起，发起了名为STOLEN PENCIL的鱼叉式钓鱼攻击活动，针对学术机构，以窃取凭据信息。同时，还使用了名为BabyShark的恶意软件来收集东北亚国家安全问题有关的情报。 参考信息
28,攻击活动分析报告 (181),疑似朝鲜APT组织发起针对学术界目标的钓鱼攻击,2019/12/31,暂无数据,['暂无数据'],Thallium,ASERT发现了可能来自朝鲜的APT活动，此活动至少从2018年5月以来一直瞄准学术机构并被称为“STOLEN PENCIL”。攻击背后的最终动机尚不清楚，但攻击者擅长隐藏行踪。通过向目标发送鱼叉式网络钓鱼电子邮件，将其引导至显示诱饵文档的网站，并立即提示安装恶意Google Chrome扩展程序。一旦获得立足点，威胁参与者就会使用现成的工具来确保持久性，包括远程桌面协议（RDP）以维持访问。通过攻击者使用的网络钓鱼域名可以分析出此次活动专注攻击学术界，并且许多大学的受害者都拥有生物医学工程专业知识。
29,攻击活动分析报告 (181),BabyShark恶意软件瞄准国家安全信息，疑似与多个恶意软件活动相关,2019/12/31,暂无数据,['暂无数据'],暂无数据,近日，Unit 42的研究人员确定了一个新的恶意软件名为BabyShark，该恶意软件通过鱼叉式网络钓鱼传播，邮件的主体主要涉及朝鲜核问题。BabyShark是一种相对较新的恶意软件，恶意软件是通过从远程位置执行第一阶段HTA来启动的，因此它可以通过包括PE文件在内的不同文件类型以及恶意文件。它将系统信息泄露给C2服务器，维护系统的持久性，并等待操作人员的进一步指令。通过对其分析，其背后的威胁行动者明确关注收集与东北亚国家安全问题有关的情报。BabyShark背后的攻击者可能与使用KimJongRAT恶意软件系列有关，并且至少与负责STOLEN PENCIL活动的组织共享资源。
30,攻击活动分析报告 (181),DustSquad APT组织针对乌兹别克斯坦的活动分析,2019/12/30,暂无数据,['暂无数据'],DustSquad,"Gcow安全团队的追影APT分析小组在公共的文件分析平台上捕获到了名为DustSpuad的APT组织,针对乌兹别克斯坦的外交部进行的一起网络攻击活动.所使用的正是名叫Octopus的Windows恶意程序。Octopus恶意程序的名称最初由ESET在2017年由APT组织在其旧C2服务器上使用的0ct0pus3.php脚本之后创造。卡巴斯基通过其监控平台发现Octopus恶意程序与DustSquad有关.在遥测中,我们发现这个组织对中亚共和国以及俄语系的国家产生着浓厚的兴趣。"
31,攻击活动分析报告 (181),黑客组织BRONZE PRESIDENT，攻击非政府组织,2019/12/29,暂无数据,['暂无数据'],暂无数据,BRONZE PRESIDENT:使用专有和公开可用的工具来攻击非政府组织（NGOs）及南亚和东亚国家的政治和执法机构。该组织已被发现使用的工具有：Cobalt Strike，PlugX，ORat和RCSession，在一次入侵期间同时使用如此多的工具表明，该组织可能有不同角色和工具偏好的攻击者。其攻击策略为通过构造钓鱼邮件渗透攻击目标的网络，安装提权工具，运行定制脚本以收集特定信息。
32,攻击活动分析报告 (181),电诈团伙的千里眼：伪装成银监会移动端的恶意APP分析,2019/12/27,暂无数据,['暂无数据'],暂无数据,"奇安信病毒响应中心最近发现一款伪装成名为""CBRC""(中国银监会或银监会英文简称)的APP。该APP伪造""资金清查""界面，收集受害者的银行账户信息，包括案件编号、银行卡号、账户密码、登入密码等。在运行过程中会通过闹钟服务在低电耗模式下开启重复定时任务，主要用于收集用户信息，实时监控受害者；通过上传手机注册信息来获取远程操作指令的参数配置信息。远程指令包括设置静音模式、备份短信信息、删除短信信息和电话转接列表等。"
33,攻击活动分析报告 (181),有效数字证书被恶意利用，传播大灰狼远控木马,2019/12/27,暂无数据,['暂无数据'],暂无数据,最近，瑞星研究人员发现一批病毒样本，样本携带有效的数字签名，且签名照名称与国内外的一些知名厂商一致。病毒使用了DLL劫持，进程注入，自带有效证书等多种手段来规避杀毒软件的查杀，故很难被察觉到。一旦中招，将被植入大灰狼远控木马(Ghost)。研究人员指出数字签名通常在以下两种情况会不再值得被信任：1.数字签名拥有者没有妥善保管签名用的私钥，导致证书泄露或者被攻击者窃取；2.证书颁发机构审核不严，攻击者向证书颁发机构提交伪造的公司资料，并成功的获取到了证书机构颁发了签有该公司信息的数字签名。
