,国家,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
14,中国 (63),黑客假冒美国CDC发送有关新冠病毒疫情的钓鱼邮件,2020/3/25,腾讯,"['CVE', '-', '2017', '-', '11882', '远控木马', '漏洞利用', ':', 'CVE', '-', '2017', '-', '11882']",暂无数据,腾讯安全威胁情报中心检测到有黑客利用新冠肺炎 (Covid-19) 疫情相关的诱饵文档攻击外贸行业。黑客伪造美国疾病控制和预防中心（CDC）作为发件人，投递附带Office公式编辑器漏洞的文档至目标用户邮箱，收件人在存在Office公式编辑器漏洞（CVE-2017-11882）的电脑上打开文档，就可能触发漏洞下载商业远控木马Warzone RAT。 Warzone RAT是在网络上公开销售的商业木马软件，具有密码采集、远程执行任意程序、键盘记录、远程桌面控制、上传下载文件、远程打开摄像头等多种远程控制功能，并且还可以在包括Win10在内的Windows系统上进行特权提升。 根据腾讯安全威胁情报中心数据，该病毒从3月23日开始传播，目前已有广东、上海、湖北等地的外贸企业受到黑客钓鱼邮件的攻击。腾讯安全专家提醒企业用户小心处理不明邮件，建议网管使用腾讯T-Sec高级威胁检测系统检测黑客攻击，客户端可采用腾讯T-Sec终端安全管理系统或腾讯电脑管家拦截病毒。
15,中国 (63),越南国家背景APT组织“海莲花”利用疫情话题攻击我国政府机构,2020/3/16,微步在线,['木马'],APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,近期，微步情报局捕获“海莲花”利用疫情话题针对我国发起攻击活动的样本文件。 攻击者以“湖南省家禽H5N1亚型高致病性禽流感疫情情况”、“冠状病毒实时更新：中国正在追踪来自湖北的旅行者”等时事热点为诱饵进行鱼叉攻击，攻击活动或发生于今年2月。利用带数字签名的WPS文件，通过社会工程学诱导受害者点击执行，运行以后会通过侧加载方式装载恶意DLL，释放诱饵文档并且在内存中加载DenesRAT木马。DenesRAT木马具备文件操作、注册表读写、设置环境变量和远程执行代码等功能的后门，该后门被插入大量花指令用于对抗分析。
16,中国 (63),“白象三代”APT组织攻击活动披露,2020/3/13,微步在线,"['钓鱼攻击', ',', '木马后门']",Dropping ElephantDropping ElephantAPT-C-09白象 摩诃草幼象,2020年2月1日，微步情报局监测发现境外攻击者借“新冠肺炎”疫情对我发起定向攻击，通过对攻击发起者的手法、木马特点及攻击资产深入分析发现，其幕后组织具备印度国家背景。 此次攻击活动，其攻击目标涉及我国西藏地区政府机构、航空航天相关企业、科技机构、高等院校、医疗机构等，其中主要攻击目标为声光技术等相关的科技机构或实验室。攻击者与此前长期针对我国印度背景APT组织“白象”在网络资产、攻击目标、攻击手法具有一定相似性，但在武器层面发生了较大调整，鉴于攻击APT攻击活动持续性强这一特点，我们将该阶段攻击发起者命名为“白象三代”。“白象三代”至少于2019年3月起开始针对我国科研人员发起钓鱼攻击，并在下半年开始投递Windows平台、Android平台远控木马，其在攻击活动中使用了大量仿冒我国政府、科研、媒体机构等域名，是一只具有多平台网络攻击能力、网络武器库储备的黑客团队。
17,中国 (63),,2020/1/8,Kaspersky,['恶意软件'],APT-C-26,卡巴斯基研究人员发现了Lazarus组织针对加密货币领域的后续AppleJeus行动。在该后续活动中，Lazarus开发了自定义macOS恶意软件，其使用Object-C框架，托管在GitHub上，并添加了一种身份验证机制，在不接触磁盘的情况下加载下一阶段有效载荷。针对Windows用户目标时，Lazarus建立了wfcwallet的虚假网站，并制定了多阶段感染程序，感染始于.NET恶意软件，其伪装成WFC钱包更新程序，执行后，将模仿连接到C2地址的钱包更新程序。然后，攻击者使用RasMan Windows服务通过持久性机制下载有效载荷。研究人员目前发现了在英国、波兰、俄罗斯和中国的几名受害者，大多都与加密货币业务实体有关。
18,中国 (63),游荡于中巴两国的魅影——响尾蛇(SideWinder) APT组织针对巴基斯坦最近的活动以及2019年该组织的活动总结,2020/1/1,Gcow,"['恶意邮件', '恶意软件', '木马后门', '漏洞利用', ':', 'CVE', '-', '2017', '-', '11882']",T-APT-04响尾蛇,"Gcow安全团队追影小组于2019年11月份捕获到名为SideWinder(响尾蛇)组织针对巴基斯坦的活动,介于该组织主要针对巴基斯坦和中国以及其他东南亚国家,且其于10月份时候针对中国部分国防重要行业进行类似手法的攻击活动,为了更好了解对手的攻击手段以及加以防范,团队将以最近的样本为契机来总结该组织为期一年的攻击活动. 响尾蛇（又称SideWinder、T-APT-04）是一个背景可能来源于印度的APT组织,该组织此前已对巴基斯坦和东南亚各国发起过多次攻击, 该组织以窃取政府，能源，军事，矿产等领域的机密信息为主要目的。此次的攻击事件以虚假邮件为诱饵，利用Office远程代码执行漏洞（cve-2017-11882）或者通过远程模板注入技术加载远程URL上的漏洞文件.在针对于巴基斯坦的攻击中我们发现了Lnk文件的载荷,其主要驱动是mshta.exe，攻击者通过各种方式以达到伪装的目的"
19,中国 (63),蔓灵花（APT-C-08）移动平台攻击活动揭露,2019/12/19,360,['暂无数据'],BITTERBITTER蔓灵花蔓灵花,蔓灵花（APT-C-08）APT组织是一个长期针对中国、巴基斯坦等国家进行攻击活动的APT组织，主要攻击政府、电力和军工行业相关单位，以窃取敏感信息为主，具有强烈的政治背景，是目前活跃的针对境内目标进行攻击的境外APT组织之一。该组织最早在2016被国外安全公司进行了披露，并且命名为“BITTER”，同年360也跟进发布了分析报告，将该组织命名为“蔓灵花”。 迄今为止有数个国内外安全团队持续追踪并披露该组织PC端的最新攻击活动。 2019年8月，360烽火实验室在日常样本分析中发现一新型Android木马，根据其CC特点将其命名为SlideRAT，深入分析后发现该家族木马属于蔓灵花组织。此后，我们对该家族样本进行持续监控，2019年11初，我们发现SlideRAT攻击中国军工行业从事人员，11月中旬，该家族样本开始攻击中国驻巴基斯坦人员。短短半个月内，蔓灵花组织在移动平台至少进行了两次的攻击活动，且受害者均为中国人，我们猜测随着年关将近，该时间段为该组织针对我国攻击的高发期。鉴于此我们决定通过已有情报和数据，将该家族在移动平台的攻击活动进行揭露。
20,中国 (63),钓鱼活动瞄准多国国际政务招标及采购业务，收集用户登陆凭证,2019/12/13,Anomali,['钓鱼攻击'],暂无数据,钓鱼攻击者仿造了各种国际政务采购环节涉及的部门、邮件服务及快递服务要用到的网站。诱饵文档里嵌套了仿造正规网站登陆页面的链接。目标涉及到包括美国、中国、新加坡、瑞士、南非等国家，覆盖政务、邮件服务、快递物流行业内多个公司。所有用来窃取用户登陆凭证的站点都使用“ cPanel，Inc”颁发的域验证（DV）证书，其子域具有类似的命名规律，并包含了“secure” ，“verification”，“bidding”或“delivery”等要素。特别是大部分子域名命名规则基本与合法网站一样，具有很强欺骗性，而其中典型的域名：leastinfo [。] com，也曾在一次针对亚洲金融机构的零日攻击中被发现。
21,中国 (63),“海莲花”(OceanLotus)2019年针对中国攻击活动汇总,2019/12/5,腾讯,['暂无数据'],APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,整个2019年，该组织持续对多个目标不断的进行攻击，使用的鱼叉攻击邮件主题非常本土化，如使用网易邮箱，贴近时事热点等。新增诱饵类型：伪装为word图标的可执行文件、chm文件等。不断更新对抗方式：使用多重载荷攻击、定制化第二阶段后门，C2拼接，自增文件大小等。利用的定制化恶意软件为：CobaltStrike的beacon木马、Denis家族木马、修改版的Gh0st。
22,中国 (63),奇安信斩断东北亚APT组织“虎木槿”伸向国内重要机构的魔爪,2019/12/5,奇安信,['暂无数据'],虎木槿,通过取证溯源分析，奇安信威胁情报中心红雨滴团队已完整捕获相关APT组织利用漏洞攻击的全过程。目标包括多个国内核心教育科研政府机构和个人，只要受攻击目标使用特定浏览器近期的版本打开网页就可能中招，被黑客植入后门木马甚至完全控制电脑。分析显示，该攻击利用了多个较老版本的Chrome浏览器内核的漏洞，国内外使用了这些较老版本渲染核心且没有对应漏洞缓解措施的浏览器用户成为本次APT攻击的目标。
23,中国 (63),Nemty勒索病毒结盟僵尸网络，黑产合作已成趋势威胁倍增,2019/12/4,奇安信,['勒索软件'],暂无数据,奇安信病毒响应中心发现Nemty勒索家族新变种开始肆虐，目前已经监测到国内有用户陆续中招，由于新变种暂无解密工具，我们提醒政企用户多加防范。 Nemty勒索在国内主要通过弱口令爆破的方式进行传播，本次捕获到的新变种为2.2版本，添加的文件名后缀. NEMTY_。相较于之前版本，除了代码结构的改变，新变种同时提供了Tor浏览器和Web浏览器两种沟通模式，而且限定了交易时间，如果三个月内不支付赎金，网站将会停止支付赎金服务可能导致数据永久损失。
24,中国 (63),追踪奥地利钓鱼木马，回顾仿冒美团钓鱼事件,2019/12/3,奇安信,['暂无数据'],暂无数据,"奇安信病毒响应中心最近发现了一款仿冒奥地利""Willhaben""软件的钓鱼木马APP。该钓鱼木马通过仿冒成""Willhaben""APP，窃取用户个人信息，并向用户发送含有钓鱼链接的短信。该恶意软件主要目是进行钓鱼。恶意程序运行后会诱骗用户激活设备管理器，并可通过远控指令隐藏APP图标，从而达到保护自身。其会通过服务端下发远控指令，包括向服务器发送用户手机状态、发送用户手机号码、发送用户手机短信、发送用户已安装的APP信息、实时对用户手机进行监控等。攻击者会根据获取到的信息，向指定用户发送钓鱼短信，诱骗用户打开钓鱼页面并预付款，从而达到诱骗钱财的目的。目前其短信中显示的钓鱼页面已无法正常显示。近期也出现了模仿中国国内的美团、饿了么平台的大规模短信钓鱼事件。当用户访问钓鱼页面时，攻击者会通过用户提供的银行卡账号、密码进行转账操作，并诱骗用户填写银行二次确认短信，从而完成转账操作。"
25,中国 (63),SQL爆破攻击近期多见，中招系统遭遇流氓软件推装,2019/12/2,腾讯,['暂无数据'],暂无数据,"腾讯威胁情报中心最近检测到黑产团伙通过SQL爆破攻击方式，投放多种类型病毒木马。攻击者首先使用sql爆破入侵，然后从es[.]ldbdhm.xyz域下载执行多种类型木马，投放的木马均伪装成图片格式(后缀为jpg或png)，包括紫狐木马、多个用于系统提权漏洞(CVE-2018-8120, CVE-2015-1701，MS16-032(CVE-2016-0099))攻击载荷和powershell木马。紫狐木马安装后释放驱动模块隐藏自身行为，并在后台推广安装各类软件，以刷流量获利。根据监测，病毒域名es[.]ldbdhm.xyz从11月初开始活跃至今。"
26,中国 (63),Rapid变种再袭，不仅加密不可修复，还随机修改文件名,2019/11/29,腾讯,['暂无数据'],暂无数据,腾讯安全御见威胁情报中心检测到，Rapid勒索病毒变种在国内开始再度活跃，该病毒首次出现于2017年，由于早期该病毒加密文件后缀为Rapid，因此得名。自该病毒出现起，该病毒每年都会给一些国内企业造成不可逆转的加密破坏。Rapid勒索病毒在国内主要通过弱口令爆破方式传播，本次检测到国内变种加密文件完成后，会对其文件添加扩展后缀.cryptolocker。
27,中国 (63),针对SQL弱口令的爆破攻击再度袭来，KingMiner矿工已控制上万台电脑,2019/11/26,腾讯,['暂无数据'],暂无数据,腾讯安全御见威胁情报中心检测到KingMiner变种攻击，KingMiner是一种针对Windows服务器MSSQL进行爆破攻击的门罗币挖矿木马。该木马最早于2018年6月中旬首次出现，并在随后迅速发布了两个改进版本。木马利用Windows权限提升漏洞CVE-2019-0803在内核模式下执行任意代码。然后通过WMI定时器和Windows计划任务实现持久化，使用base64和特定编码的XML，TXT，PNG文件来加密木马程序。利用微软和多个知名厂商的签名文件作为父进程，使用白加黑劫持技术启动木马DLL，同时会关闭机器上RDP服务防止其他挖矿团伙入侵，以独占已控制的服务器资源。KingMiner影响超过一万台电脑，其中受影响最严重的地区为中国广东、重庆、北京、上海等地。
28,中国 (63),黄金雕（APT-C-34）组织攻击活动揭露,2019/11/21,360,['暂无数据'],APT-C-34黄金雕,"360 高级威胁应对团队通过关联 Hacking Team 武器，发现了一支活跃在中亚地区，从未被外界知晓的APT组织黄金雕（APT-C-34）。该组织制作了大量的伪装的文档和图片文件作为鱼叉攻击的诱饵，这些文件通过伪装图标诱导用户点击，实际上是 EXE 和 SRC 后缀的可执行文件，同时会释放弹出真正的文档和图片欺骗受害者。其中部分诱饵程序安装包脚本会自动将程序添加到注册表项中，实现自启动驻留。除此之外，该组织还使用物理接触手段进行攻击，部分受害者曾经接入过包含恶意程序和安装脚本的 U 盘。同时该组织也使用了 HackingTeam 的物理攻击套件，该套件需要通过恶意硬件物理接触目标机器，在系统引导启动前根据系统类型植入恶意程序，支持 Win、Mac 和 Linux 平台。该组织采购了一家俄罗斯公司""YURION""的硬件设备产品，该公司是一家俄罗斯的安全防务公司，专门出售无线电监听、窃听等设备，该组织有可能使用该公司的一些特殊硬件设备直接对目标的通讯等信号进行截取监听。 该组织的后门技术主要通过改造正规软件(如TeamViewer Hijacker、RMS Hijacker' )、自主研发( 如Harpoon后门 )和采购商业木马(如HackingTeam 商业后门)这三种方式进行。其绝大部分受害者都集中在哈萨克斯坦国境内，主要涉及政府机关、航空航天、教育、军方、媒体和政府异见人士等，除此以外，还有部分中国背景的受害者，涉及我方与哈萨克合作项目组和驻哈教育机构，而极少数的受害者位于我国西北部地区。"
29,中国 (63),疑似海莲花又有新活动，攻击目标似为国内大型企业,2019/11/13,安恒信息,['暂无数据'],APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,近期安全研究院猎影威胁分析团队在文件威胁分析平台上监控发现疑似海莲花组织又有新的活动出现，其攻击目标似为国内大型企业。
30,中国 (63),合法软件流氓推广双十一活动，单日侵扰千万用户,2019/11/11,火绒,['暂无数据'],暂无数据,火绒发现国内软件厂商为了欺骗用户、规避安全软件监测，选择冒用其他安全软件名义进行广告推广，包括金山系软件(金山毒霸、驱动精灵、猎豹浏览器等)和驱动人生系软件(USB宝盒、券GoGo、Realtek音频管理器等)，致超过千万台终端受到影响。推广的形式包括但不限于弹窗、创建快捷方式、托盘广告等等。其中，金山系软件可以通过云控下发指令，且在弹窗时会监控当前环境中运行的安全分析工具、截图类软件，甚至会监听键盘输入，防止用户对其进行分析或截屏。驱动人生系软件则会静默推广广告程序，并不定时弹出双十一相关广告内容。相关广告程序多次伪装成Avast、AVG和赛门铁克等安全软件进程名。
31,中国 (63),Lcy2Miner挖矿木马影响两万台电脑，利用永恒之蓝横向移动,2019/11/8,腾讯,['暂无数据'],暂无数据,"最近，腾讯威胁情报中心监测到Lcy2Miner挖矿木马家族感染量上升，北京、广东等地超2万台电脑被挖矿。溯源发现，攻击者搭建了多个HFS服务器提供木马下载，并在其服务器web页面构造IE漏洞(CVE-2014-6332)攻击代码，当存在漏洞的电脑被诱骗访问攻击网站时，会触发漏洞下载大灰狼远程控制木马(Ghost变种)，该木马具有搜集信息、上传下载文件、键盘记录、执行任意程序等多种功能。接着由远控木马下载门罗币挖矿木马和""永恒之蓝""漏洞攻击模块，然后利用""永恒之蓝""漏洞攻击工具在企业内网攻击传播，最终攻击者通过组建僵尸网络挖矿牟利。"
32,中国 (63),Medusalocker勒索软件变种攻击企业，勒索1比特币,2019/11/7,腾讯,"['勒索软件', '鱼叉邮件']",暂无数据,腾讯威胁情报中心监测到Medusalocker勒索病毒在中国国内有部分感染，该病毒出现于2019年10月，已知该病毒主要利用钓鱼欺诈邮件及垃圾邮件传播。感染后病毒会添加计划任务，实现病毒程序的持久化驻留，计划任务会每15分钟执行一次，在病毒未清理彻底情况下，会导致重复感染。该病毒早期版本加密文件后添加扩展后缀.encrypted，最新版本加密文件后添加.ReadTheInstructions扩展后缀。Medusalocker采用RSA+AES方式对文件进行加密，加密后，会向受害者勒索1BTC(比特币)，由于RSA私钥无法通过分析获取，暂无解密工具。
