,报告标题,APT组织,披露时间,披露机构,攻击方法,报告摘要
10,响尾蛇组织针对巴基斯坦活动，使用新的恶意负载隐藏策略,T-APT-04 (12),2019-11-08,瑞星,暂无数据,"瑞星安全研究院最近发现APT组织响尾蛇针对巴基斯坦海军的攻击活动，主要目的是窃取政府，能源，军事，矿产等领域的机密信息。攻击者投放虚假的快捷方式文件""Key_Points.doc.lnk""，文件伪装成巴基斯坦海军公共关系总局发布的印度与中国领导人会谈新闻稿，诱导目标点击。在链接目标中可以看到显示调用的目标应用程序为cftmo.exe，但用户点击访问后将执行System32中的mshta.exe，通过mshta下载执行指定URL恶意脚本文件。安全研究人员将这种隐藏目标程序的技术称为""Link文件路径的目标劫持技术""。其利用了操作系统在右键显示属性的时候会优先使用 EnviromentVariableDataBlock中指定的程序路径，而不会判断该目标程序是否存在。下载的样本692cd02.hta是个JavaScript脚本文件，会从指定链接地址获取其他恶意负载盗取电脑文件信息。"
11,境外响尾蛇组织伪装我国相关部门 对他国驻华使馆发起攻击,T-APT-04 (12),2019-09-02,微步在线,漏洞攻击木马后门网络钓鱼,近日微步在线威胁情报云捕获到一起用于定向攻击的恶意样本，经过分析关联发现，本次攻击的幕后团伙为具有印度背景的黑客组织响尾蛇（SideWinder）。恶意样本伪装成我国国防部国际合作部门办公室文件，尝试利用CVE-2017-11882漏洞向他国驻华使馆人员投递远控木马。木马文件利用白利用技术，经过多次内存装载执行，达到窃取信息的目的。窃密模块通过遍历收集的目标文件目录，通过文件后缀排除自身记录痕迹，对各文件打上相应的协议标签，然后把文件数据以及标签项封装成json的压缩格式上传到C&amp;C服务器。
12,境外响尾蛇组织伪装我国相关部门 对他国驻华使馆发起攻击,T-APT-04 (12),2019-08-30,微步在线,暂无数据,国内研究人员最近发现一起响尾蛇组织的恶意攻击活动。恶意样本伪装成我国国防部国际合作部门办公室文件，尝试利用CVE-2017-11882漏洞向他国驻华使馆人员投递远控木马。木马文件利用白利用技术，经过多次内存装载执行，达到窃取信息的目的。窃密模块通过遍历收集的目标文件目录，通过文件后缀排除自身记录痕迹，对各文件打上相应的协议标签，然后把文件数据以及标签项封装成json的压缩格式上传到C&amp;C服务器。
13,响尾蛇（SideWinder）APT组织针对南亚的攻击活动披露,T-APT-04 (12),2019-02-26,腾讯,暂无数据,"""响尾蛇""（SideWinder、T-APT-04）从2017年底到2019年初持续针对巴基斯坦等南亚国家军事目标进行定向攻击。近期，又有针对南亚的攻击活动被发现。本次攻击诱饵采用CVE-2017-11882漏洞进行攻击，触发漏洞后，会从远程地址获取hta，然后调用RunHtmlApplication，将命令行中的final.hta执行。该组织的攻击诱饵主要有以下两类：lnk和office文档。有效荷载会先获取杀软的名称，如果不是“360”、“ avast”，就上报杀软的名称到相应的服务器。最终释放的恶意文件为一个VB写的后门文件，用来收集用户信息、记录键盘和鼠标的操作等。目前该组织的攻击目标主要在巴基斯坦，但是由于地缘关系，也不排除针对中国境内的目标发起攻击，因此相关部门、单位和企业切不可掉以轻心。"
14,响尾蛇（SideWinder）APT组织采用更隐蔽的方式植入后门程序,T-APT-04 (12),2018-10-18,Sebdraven(persion),鱼叉攻击,一种新型RTF文件被发现，它是用于创建其漏洞的相同工具集。该RTF利用CVE-2017-11882漏洞下载hta文件，并将其记录在caller.exe中。 Sidewinder放弃了HTA中的PowerShell，所有内容都是用vbs编写的。其目的是隐蔽性更强。因为许多恶意软件使用PowerShell，采用更隐蔽的方式也是防止被发现。
15,SideWinder“响尾蛇”APT组织（T-APT-04 ） 针对南亚的定向攻击威胁,T-APT-04 (12),2018-05-22,腾讯,暂无数据,近日腾讯御见威胁情报中心捕获到了SideWinder（响尾蛇） APT组织的一个最新攻击样本，该APT组织疑似来自印度，最早活跃可追溯到2012年。主要针对巴基斯坦等南亚国家的军事目标进行定向攻击。
16,'TeamSpy'故事 - 在Cyberespionage广告系列中滥用TeamViewer,TeamSpy crew (1),2013-03-20,Kaspersky,鱼叉式钓鱼,近些年，神秘的实施者渗透和跟踪，执行监视和窃取政府组织、私企以及整个英联邦的人权活动家、独立国家（独联体）和东欧国家的数据。这一行动延伸到西方国家和 中东以及能源和重工业制造等部门。 攻击者使用TeamViewer用于情报收集和监视。该报告称实施者为“TeamSpy团队”，因为他们喜欢使用TeamViewer作为它们的工具集的主要部分。
17,Marco Ramilli发布针对伊朗APT组织的分析报告,TG-2889 (2),2020-01-15,marcoramilli,暂无数据,Marco Ramilli研究人员发布了针对伊朗APT组织的初步分析报告，其基于MITER ATT＆CK和Malpedia介绍了组织之间的相互关系。OilRig组织主要在中东开展活动，目标是该地区各行各业的组织，偶尔也会将目标锁定在中东以外的组织。OilRig也会进行供应链攻击。OilRig使用Mimikatz和laZagne等开源工具，Microsoft发行版或sysinternals上可用的常见sysadmin工具集。MuddyWater组织主要针对中东国家，同时也针对欧洲和北美国家。该组织的受害者主要是电信，政府（IT服务）和石油部门。目前只有Powerstats后门才被归因于该组织。APT33组织至少从2013年开始运营，目标是美国、沙特阿拉伯和韩国的多个行业的组织，其TTP非常接近MuddyWater。CopyKittens是至少从2013年就开始运作，目标国家包括以色列、沙特阿拉伯、土耳其、美国、约旦和德国，其使用CobaltStrike工具，在Windows和IOS上使用了代码签名。Cleaver组织，负责Cleaver行动，强有力的间接证据表明Cleaver与组织2889 (TG-2889)有关。
18,伊朗CLEAVER组织的攻击活动,TG-2889 (2),2014-12-03,Cylance,暂无数据,安全公司Cylance爆料，伊朗黑客组织“手术刀（Operation Cleaver）”正在全球范围内攻击航空、能源行业和国防领域。“手术刀”由伊朗政府赞助，在它的攻击目标中目前有10个是美国重要基础设施。安全研究人员预测该黑客组织的攻击动机很可能是报复美国曾对伊朗造成损伤的震网病毒（Stuxnet）和其他黑客活动。目前没有直接的证据证明“手术刀”已经入侵了工业控制系统（ICS）和监测控制&amp;数据采集系统（SCADA）的网络，但是已经查到约有50个公司、单位或组织遭到“手术刀”攻击，包括美国军方、美国海军陆战队内网（NMCI）和几个工业组织（比如能源、公共事业）。研究人员发现了许多在攻击中被使用的域名，而这些域名都是由伊朗公司Tarh Andishan注册。研究者还发现ASN和netblock是直接与伊朗当局挂钩的，而且攻击利用的基础设施由伊朗供应商Netafraz提供。航空公司、政府机构、运输公司、电信运营商、国防承包商和教育机构也是他们攻击的目标。该组织的黑客们通常混合使用SQL注入技术和利用微软漏洞进行攻击。除此之外，“手术刀”还雇佣了第三方组织，特别订制了攻击工具，攻击者利用这些特制工具窃取受害者的数据、网络凭证，嗅探其网络，进行键盘记录和种植后门。
19,微软起诉朝鲜APT组织Thallium，并接管其使用的50个域名,Thallium (2),2019-12-31,MicroSoft,暂无数据,最近，微软起诉了黑客组织Thallium，并成功接管了该组织运营的50个威胁域。Thallium是一个来自于朝鲜的攻击组织，通常使用鱼叉式网络钓鱼技术针对包括政府、高等院校等目标，大多数目标位于美国、日本和韩国。该组织至少从2018年5月起，发起了名为STOLEN PENCIL的鱼叉式钓鱼攻击活动，针对学术机构，以窃取凭据信息。同时，还使用了名为BabyShark的恶意软件来收集东北亚国家安全问题有关的情报。 参考信息
20,疑似朝鲜APT组织发起针对学术界目标的钓鱼攻击,Thallium (2),2019-12-31,Netscout,暂无数据,ASERT发现了可能来自朝鲜的APT活动，此活动至少从2018年5月以来一直瞄准学术机构并被称为“STOLEN PENCIL”。攻击背后的最终动机尚不清楚，但攻击者擅长隐藏行踪。通过向目标发送鱼叉式网络钓鱼电子邮件，将其引导至显示诱饵文档的网站，并立即提示安装恶意Google Chrome扩展程序。一旦获得立足点，威胁参与者就会使用现成的工具来确保持久性，包括远程桌面协议（RDP）以维持访问。通过攻击者使用的网络钓鱼域名可以分析出此次活动专注攻击学术界，并且许多大学的受害者都拥有生物医学工程专业知识。
21,TICK组织ENDTRADE活动，使用多阶段后门针对日本目标,Tick (4),2019-11-29,TrendMicro,暂无数据,"趋势科技最近揭露了网络间谍组织TICK(又名""BRONZE BUTLER""和""REDBALDKNIGHT"")的最新活动。该组织使用合法的电子邮件账户和证书传播恶意软件，针对国防、航空航天、化学和卫星行业，这些行业的总部在日本，在中国有子公司。在2019年1月，该组织通过窃取日本经济研究公司和公共关系(PR)机构的电子邮件凭据和文件，并将其作为鱼叉式钓鱼邮件发送给精通日语或中文并且对中国经济感兴趣的个人和公司，邮件中包含带有恶意软件有效负载附件。该组织在活动中使用两个新的下载器ABK和BBK，两个新的木马Snake和build_down，这些恶意软件都具有一项重要任务：连接到网站并验证受害系统的卷序列号，以确定是否将发送下载后门的命令，在多个驱动器或卷的实例中，下载器从驱动器C收集信息。TICK还利用Microsoft Office内存损坏漏洞CVE-2018-0802和CVE-2018-0798传播ABK和BBK恶意软件。ABK使用隐写术将额外的负载隐藏在照片中以绕过杀毒软件。BBK同样使用隐写术隐藏恶意负载，其可以从C2服务器网站下载特定文件收集受害者信息，但是该软件不执行命令，研究人员因此推测该工具还在开发阶段。"
22,以东亚为目标的危险活动追踪报告,Tick (4),2018-10-18,Cisco,漏洞利用鱼叉攻击木马后门,自2016年以来，思科的Talos组织就开始跟踪的一个曾使用apt对韩国和日本进行了网络攻击的组织。 这个小组有几个不同的名字：Tick，Redbaldknight和Bronze Butler。 尽管每个攻击都使用了自定义工具，但Talos已经发掘了他们工具底层反复使用的攻击手法，并从劫持相关命令和控制（C2）域的交叉部分中解析发现其为同一IP的不同攻击C2。 这些基础架构模式表明Datper，xxmm后门和Emdivi恶意软件系列之间存在相似之处。 在这篇文章中，我们将深入探讨这些相似之处，并研究这些攻击手法的具体过程。
23,BRONZE BUTLER针对日本企业,Tick (4),2017-10-12,SecureWorks,后门木马鱼叉式钓鱼攻击漏洞利用0day零日漏洞,Secureworks公司称BRONZE BUTLER的行动表明，其长期以来一直试图渗透日本企业以窃取知识产权及其它机密数据，相关入侵活动还证明，该恶意集团的入侵目标主要集中在关键基础设施、重工业 、制造业以及国际关系网络层面。CTU?研究人员怀疑该组织可能位于中国。
24,“Tick” 组织的持续性攻击分析,Tick (4),2017-07-24,paloalto,后门木马漏洞利用,黑客组织 Bronze Butler（ 又称 Tick ）自 2012 年以来一直针对日本企业的关键基础设施、重工业、制造业以及国际关系方面展开攻击活动，旨在窃取企业知识产权与其机密信息。有消息指出，该组织似乎还与中国存有潜在联系。
25,Tortoiseshell组织伪造就业网站，针对美国退伍军人,TortoiseShell (2),2019-09-24,Cisco,钓鱼攻击木马后门,最近，Talos研究人员发现威胁组织Tortoiseshell（由赛门铁克命名）的最新活动，。攻击者部署了一个名为hxxp://hiremilitaryheroes[.]com的钓鱼网站，旨在帮助美国退伍军人找到工作，该网站域名和美国商会的域名类似。在访问过程中，恶意网站会提示用户下载一个伪装成应用程序的恶意软件下载器，然后下载程序会下载侦查工具Liderc和远程木马IvizTech远控木马，除此之外，还部署了之前活动中使用的后门程序。如果安装过程出现故障，则会向硬编码在安装程序中的电子邮件账户发送消息
26,Tortoiseshell组织针对沙特阿拉伯IT提供商，使用木马Syskit,TortoiseShell (2),2019-09-18,Symantec,木马后门,"最近，赛门铁克发现了一个新的APT组织，针对沙特阿拉伯IT提供商进行供应链攻击活动。该组织被称为Tortoiseshell，自2018年7月以来一直活跃。在活动中受害者包括11个组织，其中大多数位于沙特阿拉伯，在至少两个组织中，攻击者获得了域管理员级别访问权限。攻击者使用独特的后门软件Syskit，该后门将配置文件中经过AES加密(秘钥""""fromhere"""")的URL和result元素中的内容以Base64编码的写入注册表中，其中包含了C2信息和收集信息功能。除此之外，该小组还使用了公共工具Infostealer，用于信息收集。在至少两个受害网络上，Tortoiseshell将其信息收集工具部署到域控制器上的Netlogon文件夹中。这导致当客户端计算机登录到域时，将自动执行信息收集工具。同时在受害者机器上存在APT34使用的后门Poison Frog，该后门比Tortoiseshell工具早一个月部署。研究人员，攻击者的最终目的，可能是通过供应链攻击，获得对某些IT提供商客户网络的访问权限。"
27,【高级持续性威胁追踪】TransprentTribe APT组织针对印度COVID-19攻击样本分析,TransparentTribe (8),2020-09-08,深信服,钓鱼攻击木马后门,深信服近期捕捉到针对印度的攻击样本，该攻击中使用到的诱饵文件来自于印度当前COVID-19的实时新闻与相关政策。经过分析，初步认为该次攻击由TransparentTribe APT组织发起。恶意样本通过大量的空格隐藏负载，并且调用powershell下载诱饵pdf文件以及第二阶段负载，其使用CloudFlare Workers服务来放置负载，避免下载时被安全设备拦截，并且其子域名使用的为与微软相似的名称(ccdn.microsoftdocs.workers.dev)以迷惑受害者。样本还通过伪造微软签名，减少杀软的查杀概率。然后获取主机的基本信息，包括系统版本、IP地址、机器名称、用户名称以及当前进程名称，将收集到的信息发送给C2。
28,透明部落：进化分析，第一部分,TransparentTribe (8),2020-08-20,Kaspersky,木马后门,卡巴斯基最近披露了Transparent Tribe组织近一年来的活动，其继续传播Crimson RAT，感染的受害者主要位于印度和阿富汗。并且发现了该组织用来管理受感染机器和进行间谍活动的C2组件Crimson Server和用于传播的USBWorm组件。Crimson是Transparent Tribe用于间谍活动的主要工具。该工具由多个组件组成，攻击者使用这些组件在受感染的机器上执行多个活动：管理远程文件系统、上传或下载文件、执行任意命令、记录击键等。
29,TransparentTribe攻击活动分析,TransparentTribe (8),2020-08-20,securelist,远控木马恶意软件,"TransparentTribe，又名ProjectM,是南亚地区活跃的APT组织。该小组一直保持着相似的TTP，通常采用嵌入恶意宏的文档为感染媒介，这些宏似乎是自定义的生成器生成的，该组织主要的恶意软件是独自研发的Crimson RAT,有时还会使用基于Python的远控木马。在过去的一年中，卡巴斯基监测到该组织攻击开始加强，针对范围更广，并加大了对阿富汗的攻击力度，同时，卡巴斯基还捕获了Crimson RAT服务端组件，披露了一个之前从未公开的插件 - USBWorm,该插件能感染可移动设备，并从中窃取数据。"
30,近期使用新冠疫情（COVID-19）为诱饵的APT攻击活动汇总,TransparentTribe (8),2020-03-28,腾讯,"恶意脚本木马后门,勒索软件钓鱼邮件",目前，由新型冠状病毒引起的肺炎疫情（COVID-19）在全球蔓延，已有190个国家存在确诊病例，全球确诊人数已经超过43万人，死亡病例超过1.9万。中国大陆已基本控制住疫情，但在意大利、西班牙、美国等发达国家疫情仍处于爆发期，世界卫生组织已将疫情的全球风险级别确定为“非常高”。 而随着新冠病毒疫情（COVID-19）在全球蔓延，以此为主题的网络攻击事件骤然增长。其中中国大陆、意大利、韩国等国家成为黑客网络攻击的高风险地区。腾讯安全威胁情报中心自疫情爆发后，已检测到多起以新冠病毒疫情为主题的攻击活动。 攻击者大多以投递邮件的方式，构造诱饵文件欺骗用户点击，恶意文件类型多种多样，覆盖EXE、MS Office宏文档、漏洞文档、lnk文件、VBS脚本等。而攻击的背景也包括具有国家背景的专业APT组织和普通黑产组织。本文对近期发现的以新冠病毒疫情为诱饵的攻击活动加以汇总，供大家参考。在此提醒广大政企单位和个人用户，在做好疫情防控的同时，也要做好网络安全的防护工作。
31,肚脑虫(Donot)组织和C-Major组织的钩沉拾遗,TransparentTribe (8),2019-12-28,安恒,鱼叉攻击,近期，安恒安全研究院猎影威胁分析团队对肚脑虫(donot)组织进行了一些梳理，在梳理过程中，又发现了一些和 C-Major 组织的关联项。于是对这两个组织做了对比分析。
32,TransparentTribe APT组织最新样本分析,TransparentTribe (8),2019-10-29,深信服,钓鱼攻击木马后门,深信服安全团队最近发现巴基斯坦APT组织TransparentTribe的最新活动样本，该样本的诱饵文档伪装成日历型电子表格，通过执行表格中宏代码释放恶意负载，窃取受害者主机信息。恶意程序会判断系统是否存在虚拟机和反编译相关进程，如果存在则退出。同时设置系统自启动项快捷方式启动恶意负载twainResolver.scr。该恶意文件收集主机的进程信息并上传到远程服务器，目前该远程服务器已经失效。
33,TransparentTribe APT组织2019年针对印度政府、军事目标的攻击活动报告,TransparentTribe (8),2019-03-05,腾讯,暂无数据,"进行2019年以来，腾讯御见威胁情报中心检测到了多起针对印度政府部门、军事目标等的攻击活动，诱饵内容包括""印度空袭分裂主义组织（英译汉）""、""联合国军事观察员（英译汉）""等。经过分析关联确认，攻击组织为TransparentTribe APT组织。"
34,TransparentTribe APT组织最近活动，针对印度军事人员,TransparentTribe (8),2018-01-07,minerva,暂无数据,TransparentTribe APT组织最近活动，针对印度军事人员
35,恶意软件MgBot新变种针对印度和香港,Tropic Trooper (4),2020-07-21,Malwarebytes LABS,钓鱼攻击木马后门,研究人员发现了若干带有嵌入式文件的压缩文件，这些文件伪装成来自印度政府或英国首相鲍里斯·约翰逊（Boris Johnson）关于香港的声明，同时使用模板注入来加载Cobalt Strike变体和被命名为MgBot的加载程序。MgBot通过使用Windows上的应用程序管理（AppMgmt）服务执行并注入了最终的有效负载。MgBot使用了几种抗分析和抗虚拟化技术。代码是自动修改的，可在运行时更改其代码段，以增加静态分析的难度。MgBot中捆绑的最后一段代码是一个远程管理木马，它具有以下功能： 通过TCP进行C2通信；能够截图；键盘记录；文件和目录管理；进程管理；创建MUTEX。
36,Windows Defender ATP设备风险评分暴露出新的网络攻击，驱动器有条件地访问以保护网络,Tropic Trooper (4),2018-11-28,MicroSoft,CVE-2018-0802恶意软件,几周前，Windows Defender高级威胁防护（Windows Defender ATP）团队发现了针对亚洲能源和食品饮料行业几个知名组织的新网络攻击。鉴于目标区域和纵向，攻击链以及所使用的工具集，我们认为该行业称为Tropic Trooper的威胁行为者可能是攻击的背后。
37,Tropic Trooper组织攻击的新方法分析,Tropic Trooper (4),2018-03-14,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用,Tropic Trooper 主要以台湾、菲律宾和香港为目标，攻击活动集中在政府、医疗、交通和高科技产业。该组织开发自己的网络应用工具，在最近的活动中对这些工具进行了不断技术更新。本文主要对该组织及其工具新的行为特征进行分析说明。
38,Tropic Trooper APT组织攻击台湾政府和能源公司,Tropic Trooper (4),2016-11-22,paloalto,暂无数据,Tropic Trooper APT组织继续以亚洲为攻击目标，这次针对的是台湾政府和能源公司。而今，Palo Alto Networks的研究人员发现该组织通过恶意软件“Yahoyah”攻击台湾行政院秘书长和矿物燃料提供商。攻击者利用了CVE 2012-0158漏洞进行鱼叉式钓鱼攻击，其它许多APT组织也曾利用该漏洞实施攻击，包括Lotus Blossom、NetTravelle和The Four Element Sword ATP。进一步的分析揭露了表明攻击者还可能使用PCShare恶意软件家族。
39,Turla使用HyperStack、Carbon和Kazuar来危害政府实体,Turla (16),2020-10-27,Accenture,恶意软件木马后门,埃森哲咨询公司发现Turla组织继续使用自定义的恶意软件（包括旧版工具）瞄准政府组织。研究人员确认了针对欧洲政府组织的活动。 在活动中，攻击者使用了基于RPC的后门（例如HyperStack）和远程管理木马（例如Kazuar和Carbon）的组合。最近9月发现的一个HyperStack后门更新了功能，该功能似乎受到之前安全产商披露的RPC后门以及Carbon后门启发。 HyperStack使用命名管道来执行从控制器到托管HyperStack客户端的设备的远程过程调用（RPC）。为了进行横向移动，恶意植入程序会尝试使用空会话或默认凭据连接到另一个远程设备的IPC$共享。还发现HyperStack的另一个版本允许攻击者通过命名管道运行从控制器到恶意植入程序的命令，而无需任何IPC$枚举活动。
40,黑客组织Turla引入NewPass 新型工具,Turla (16),2020-07-14,Telsy,木马后门,"Telsy研究人员发现了一些与2020年6月发生的一次恶意攻击有关的软件，该攻击很可能与Turla\Uroburos相关，使用了被命名为 ""NewPass""的新型工具，用于向C2发送渗出数据的相关命令。NewPass由不同的组件组成，这些组件依靠一个编码文件在彼此之间传递信息和配置。至少包含三个组件，下载器，部署的二进制文件和加载器库，能够解码二进制文件，负责执行特定的操作，如与攻击者的命令和控制服务器通信。装载器和C2服务器共享内存中常驻的JSON配置文件，这些配置展示了恶意软件的扩展功能，以及攻击者可以通过简单地改变配置项的值来定制植入物的能力。"
41,攻击者利用WAV音频文件，隐藏XMRig和Metasploit代码,Turla (16),2019-10-21,Cylance,钓鱼攻击木马后门,研究人员最近发现，WAV音频文件中被嵌入经过模糊混淆的恶意代码，其中一些与XMRig Monero币矿工程序相关。每个WAV音频文件都有一个加载程序，用于解码和执行其中嵌入的恶意代码，并且不会在播放过程中产生异常。WAV文件加载器包括采用最低有效位隐写术加载程序解码并执行PE文件、采用基于rand()的解码算法来解码和执行PE文件、采用基于rand()的解码算法来解码和执行shellcode类型。每种方法都允许攻击者以合法文件格式执行代码，其中对解码shellcode的分析显示，该代码与Metasploit 反向TCP和反向HTTPS代码极为相似，并且shellcode都会尝试通过端口3527或443连接到C2服务器。该隐藏策略在Turla组织使用的恶意样本中也被发现。
