,年份,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
10,2012 (12),Sin Digoo事件,2012-02-29,SecureWorks,C&C,暂无数据,一位外国网络安全专家经过多年的跟踪搜索，揭开了一位疑似中国军方骇客的身份——这位骇客是郑州解放军信息工程大学信息工程学院网络安全教师张长河(无法访问官网，该链接为其作为联合作者的一篇早期论文《交换式局域网监听技术研究与实现》)。42岁的Joe Stewart是Dell SecureWorks恶意程序研究主管，他从2011年起开始关注来自中国的黑客攻击。他跟踪了2.4万中国黑客用于发起攻击的域名，在检查一个恶意代码的指令节点时注意到黑客使用相同的Hotmail邮箱注册了十几个域名，黑客自称Tawnya Grilth或Eric Charles，居住在加州的一个城市，但城市名字被错误拼写成Sin Digoo。几个月后，Stewart发现Tawnya Grilth注册了域名dellpc.us，与戴尔公司域名非常接近，因此他联系了ICANN，投诉黑客侵犯了戴尔商标。由于Tawnya Grilth没有任何回应，ICANN同意将域名控制权交给Stewart，Stewart通过这个指令节点观察到了黑客在全世界的活动。他发现黑客控制的电脑属于越南、文莱和缅甸等不同的政府部门，数家石油公司、一家报纸、一个核安全机构以及一家驻华大使馆。他随后利用Tawnya Grilth和邮箱jeno_1980@hotmail.com从网络上搜索了这位黑客的各种情报：在地下安全论坛rootkit.com和BlackHatWorld讨论黑客技术，爱卡汽车网讨论汽车，QQ帐号，创办了河南手机网，开心网账号，甚至还有个人照片。最终发现这些账户的所有者是解放军信息工程大学教师张长河。
11,2012 (12),第五领域的指挥与控制,2012-02-15,Command Five Pty Ltd,C&C,暂无数据,本文展示了对APT事件中所使用的C2服务器的深入研究，包括恶意软件的技术细节和与C2服务器通信的协议。所有研究成果是基于近期多起的有目标的攻击事件，有最近的Sykipot攻击、2011年7月的SK通信事件、2011年3月RSA泄露，及一些列NightDragon相关事件。
12,2011 (10),“msupdater”特洛伊木马和持续的目标攻击,2011-11-30,Zscaler,C&C恶意软件钓鱼邮件,暂无数据,来自Zscaler和Seculert的研究员，在独立工作时，都确认了关于MSUpdater的攻击行为和威胁状态。通过内部沟通，双方合作整理相关线索，发掘内部关联，在开源情报OSINT的帮助下，详细分析MSUpdater这款远程控制木马。这种攻击可追溯至2009年，以窃取航空、地理勘探行业的资料为目的，近阶段又有活动迹象。
13,2011 (10),Stuxnet/Duqu驱动的演变,2011-11-28,Kaspersky,暂无数据,暂无数据,经过长期研究，远程控制工具Duqu和Stunext有很多相似之处，很有可能是同一组开发人员制作的。经过分析两款恶意程序的结构，发现是由相同平台生成的，按其作者的称呼，该平台为“Tilded”。本报告深入分析了Duqu的技术细节。
14,2011 (10),Nitro攻击化学工业中的秘密窃取,2011-11-01,Symantec,C&C,暂无数据,本报告讨论了近期针对化工及高级材料产业的攻击事件。攻击实施者的目的很显然是要获取例如设计文档、公式、生产流程的专利知识产权内容。类似的攻击在很长一段时间内，也出现过在其他行业和组织。此次针对化工行业仅是一次频繁活动而已。通过此次事件的线索分析，我们可以确认相关的实施者及其动机，并将带有这一系列特征的活动命名为Nitro。 近期的攻击活动开始于2011年7月底，持续到2011年9月中旬。但C2的植入活动，早在4月就初见端倪。
15,2011 (10),涉嫌APT入侵集“1.php”组,2011-10-12,Zscaler,C&C,APT6,从2008年至今，“1.php”团体持续使用鱼叉式邮件，携带恶意PDF附件或网站链接，以达到植入用户设备的目的。目标受害者为中美关系专家、国防专家和地理行业。Zscaler在目标受害者中多次取样，总结了攻击事件的详细过程，以供用户增强防御和响应处置。
16,2011 (10),SK Hack受到高级持续威胁,2011-09-01,Command Five Pty Ltd,木马植入,暂无数据,2011年7月SK通信公司被入侵事件，涉及3千5百万个人信息被窃。本报告就事件中出现的木马软件如何攻破目标网络做出详细描述。同时也描述了一个安全公司如何定位该事件中的入侵工具。本次事件与其他多起恶意活动有关，相关特征将对网络防御提供价值。具体技术细节和实施工具将在文字详述。
17,2011 (10),HTran和高级持续威胁,2011-08-03,SecureWorks,暂无数据,暂无数据,Dell SecureWorks CTU团队，根据捕获的HTran样本，对HUC的C2恶意行为进行了深入分析。
18,2011 (10),揭示了Shady RAT的行动,2011-08-02,McAfee,C&C鱼叉邮件,暂无数据,在过去的几年中，特别是自从Aurora被曝光，涉及Google和几十个企业被入侵。国际上越来越多的企业担心是否自己也遭受黑客侵袭。我们的答案是：几乎全部。 经过对Aurora和NightDragon等恶意软件的深入分析，各行业凡是涉及到商业机密和信息资产的企业，都不同程度收到入侵或相关事件影响。本文针对近6年的网络黑客事件，以时间轴方式进行归档总结。
19,2011 (10),对于Night Dragon攻击的具体保护措施考虑,2011-02-18,NERC,C&C,暂无数据,本报告由北美电力可靠性委员会（NERC）发布，目的在于针对Night Dragon攻击，提供其行为特征，及检测、防御、恢复等各阶段的执行建议。该攻击的目标不只限于能源行业，也可能广泛实施于其他行业。希望受影响企业能组建事件响应机制，做到信息共享，联合处置。
20,2011 (10),全球能源网络攻击“Night Dragon”,2011-02-10,McAfee,C&CSQL注入鱼叉攻击,暂无数据,如Night Dragon这种高度协作、目标明确的黑客团体正在快速崛起。其目标从政府、军队，向全球化企业和商业公司迁移。虽然Night Dragon攻击专门针对能源部门，这种工具和技术可以非常成功地针对任何行业。经验表明，很多其他行业也处于漏洞的高危下，也可能正在受到持续的网络间谍入侵。黑客已不限于只是利用被入侵的电脑，而是以获取信息资产为最终目的。
21,2011 (10),W32.Stuxnet档案,2011-02-01,Symantec,C&C,暂无数据,本文围绕Stuxnet蠕虫病毒进行了非常详细的分析。文中针对目标人群及入侵系统，做了地区性统计分析；更主要的是深度解剖Stuxnet的组成、安装、工作原理等技术细节。
22,2010 (6),Shadows in the Cloud调查网络间谍系统2.0,2010-04-06,Citizen Lab,C&C,暂无数据,Shadows in the Cloud是一个十分庞大复杂的恶意软件生态系统，针对政府、商业、教育等广泛目标的间谍工具，其中印度、西藏达赖势力、联合国和某些国家受到影响。在调查过程中，部分政府的敏感数据被窃取，报告中对此部分数据进行了分析，涉及个人信息、金融信息、商业信息等。报告对攻击者Shadow'所部署的恶意软件生态系统进行剖析，曝光了其云技术、社交平台、web主机服务等手段。
23,2010 (6),Aurora僵尸网络的命令结构,2010-03-03,Damballa,钓鱼邮件僵尸网络,暂无数据,2009年7月至2010年1月期间，美国包括Google，Adobe，Juniper，Yahoo在内的32家高新技术公司，受到僵尸网络攻击，部分专有信息被窃。攻击者利用微软IE6浏览器的0day漏洞实施入侵，使用名为Trojan.Hydraq的控制软件远程操作受害主机。此次事件被称为Operation Aurora。
24,2010 (6),Aurora行动,2010-02-10,HBGary,C&C恶意软件,暂无数据,Aurora的使用没有具体针对任何一个行业，凡是有价值的信息都可能被窃取。经过反编译，该恶意软件使用中文环境开发，有可能是为中国使用者开发。CRC算法也反追踪到中国，在通过域名注册等信息，Peng Yong列为被怀疑的威胁实施者。
25,2010 (6),深入分析Hydraq,2010-01-31,CA Internet Security Business Unit,C&C恶意软件,暂无数据,Hydraq是一个针对大型企业的网络进行攻击的，高成熟度、高可调性的恶意软件家族，与Operation Aurora颇有渊源。Google因微软IE的0day漏洞，受此恶意软件入侵。本文将从功能和能力方面，详细剖析该软件细节。进一步探究当前全球网络战军备竞赛势态。
26,2010 (6),AURORA行动的检测、诊断、响应,2010-01-27,Verdasys,C&C恶意软件,暂无数据,近期，Aurora恶意软件被Google和McAfee确认并公布。这是一款用于盗取源代码和技术图纸（如CAD，石油探测数据）类知识产权的恶意工具。疑似受害公司包括Google，Adobe，Yahoo，Symantec，Juniper，Rackspace，Northrop Grumman，ExxonMobil，ConocoPhillips，Dow Chemical。Aurora的出现最早可追溯到2006年，目前已经被应用得十分纯熟。
27,2010 (6),打击Aurora,2010-01-11,McAfee,暂无数据,暂无数据,2010年，McAfee Lab针对Operation Aurora发布报告，详细分析该恶意软件的特征及处置方式。
28,2009 (3),信用卡skimmer开始使用隐写术，逃避扫描程序检测,2009-12-30,Malwarebytes LABS,暂无数据,暂无数据,最近，安全研究人员@AffableKraut发现了第一个公开的基于隐写术的信用卡skimmer，恶意代码隐藏在伪装成类似购物网站宣传的图片中。该图片的格式明显错误，其文件末端添加了额外数据，通过标记(FF D9)隔开。研究人员发现所有包含隐写skimmer的网站都注入了类似的代码片段(通常在footer元素或谷歌标记管理器之后)来加载假图片，并通过slice()方法解析其恶意skimmer代码。攻击者同时需要将发送窃取数据的代码注入在感染网站中，这些代码经过混淆处理，利用WebSocket协议将数据发送给攻击者服务器以隐藏通信。目前大部分的扫描器和爬虫程序都将重点放在HTML和JavaScript文件上，而忽略了类始于图片这种媒体文件。
29,2009 (3),跟踪GhostNet,2009-03-29,SecDev,木马植入钓鱼邮件,暂无数据,GhostNET是蔓延于全球范围的间谍网络攻击事件，目的获得高价值政治，经济和媒体信息。受害组织几乎未发现损害情况。外交官，军官，私人助理，总理秘书，记者和任何人的电脑都有可能受到控制。
30,2009 (3),被指控的俄罗斯网络攻击的影响,2009-01-18,Baltic Security,DDoS网站篡改,暂无数据,2007年至2009年期间，爱沙尼亚、格鲁吉亚、立陶宛、吉尔吉斯斯坦等国，频繁收到来自俄联邦政府支持的黑客组织发起的网络攻击。本文从国家局势，北大西洋公约组织、欧洲安全与合作委员会立场等方面，分析了此次事件的原委，并提供改善方案。
31,2008 (3),受到蠕虫袭击，军事禁令磁盘，USB驱动器,2008-11-19,WIRED,暂无数据,暂无数据,国防部的极客们被一种迅速蔓延的蠕虫所惊吓，这种蠕虫正在他们的网络中爬行。因此，他们已经停止使用所谓的u盘、cd、闪存卡和所有其他可从他们的网络中移动的数据存储设备，以防止蠕虫进一步繁殖。
32,2008 (3),俄罗斯对格鲁吉亚发动网络战争,2008-11-10,格鲁吉亚外交部,木马后门,暂无数据,在俄罗斯入侵格鲁吉亚之前，大量网络攻击正试图破坏、破坏和摧毁格鲁吉亚重要的政府和民间网络基础设施。这些攻击在入侵前夕变成大规模攻击，导致格鲁吉亚网络空间的各个部分被封锁、改道和控制。此次攻击标志着战争史上的一个新阶段，这是第一次陆地入侵与精心策划的网络攻击相协调。这为战略家和规划者提供了重要的教训，同时也提供了有关俄罗斯联邦如何发展其在互联网上的进攻能力的重要信息。
33,2008 (3),中国的电子远程侦察,2008-11-04,questia,暂无数据,暂无数据,"本周国会通过立法要求五角大楼报告中国日益增长的网络战争力量的能力,当生产评估中国军事力量的财政2008年国防授权法案,众议院昨天通过,包含了一个条款要求的年度军事力量中华人民共和国报告包括一个新的部分北京的“收购、开发、并部署网络战能力”，以评估中国的“非对称”作战能力。"
34,2008 (3),中国将如何利用网络战在军事竞争力上实现跨越式发展,2008-10-02,Culture Mandala,暂无数据,暂无数据,从经济上讲，中华人民共和国（PRC）可能是全球大国，但其军事力量缺乏在亚太地区以外的投射力量。它的传统军事硬件落后于美国和俄罗斯一到三代人。鉴于这些缺陷，网络战很可能为中国提供不对称的优势，以阻止强大的军事力量追赶传统军事能力而发动的侵略。网络战还将使中国通过技术转让和利用对手的弱点而实现跨越式发展。这项调查将解决三个主要问题：中国目前的军事能力是什么？网络战将如何使中国认真提高其战略能力？那么，有什么证据表明中国正朝着网络战的方向发展呢？
35,2006 (1),“邪恶的玫瑰”和NCPH黑客组织,2006-11-16,VeriSign,暂无数据,暂无数据,0day攻击是利用公众未知漏洞进行黑客行为的攻击，已经成为安全领域的关注焦点。VeriSign iDefense威胁分析团队，深入分析了2006年部分攻击威胁事件的实施者-Wicked Rose和他的团队NCPH。本文讲述了Wicked Rose和NCPH如何成为全球知名黑客团体的发展过程。
