,年份,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
13,2018 (134),Lazarus继续抢劫，对拉丁美洲的金融组织进行攻击,2018-11-20,TrendMicro,木马后门,Hidden CobraLazarusbluenoroff:,网络犯罪集团Lazarus，特别是其子集团Bluenoroff，有攻击亚洲和拉丁美洲金融机构的历史。该小组的活动似乎重新抬头，最近的事件显示了他们的工具和技术是如何演变的。就在上周，他们被发现从亚洲和非洲的ATM机上偷走了数百万美元。我们最近还发现，他们成功地将他们的后门（趋势科技检测为BKDR_BINLODR.ZNFJ-A）安装到拉丁美洲的几家金融机构中。
14,2018 (134),不那么舒适：对疑似APT29网络钓鱼活动的不舒服检查,2018-11-19,FireEye,网络钓鱼邮件,APT29CozyDuke,通过我们的Mandiant咨询团队对受感染组织的事件进行调查，确定受害者的攻击细节和妥协后活动，可以获得确定的FireEye归属。FireEye仍在分析此活动。
15,2018 (134),中国威胁演员TEMP.Periscope利用俄罗斯APT技术瞄准英国工程公司,2018-11-13,Recorded Future,鱼叉式网络钓鱼,APT40Leviathan,TEMP.Periscope是一个由国家赞助的中国威胁演员，于2017年10月首次公开亮相，当时有报道称有一个名为Leviathan的团体。Leviathan使用独特的开源工具组合来针对海事和国防行业进行间谍活动。该报告详细介绍了该组织至少可追溯至2014年的报道。
16,2018 (134),揭秘摩诃草组织攻击活动,2018-11-09,安恒信息,暂无数据,Dropping ElephantDropping ElephantAPT-C-09白象 摩诃草,"报告披露，摩诃草组织(APT-C-09),又称HangOver、VICEROY TIGER、The Dropping Elephant、Patchwork,是一个来自于南亚地区的境外APT组织,该组织已持续活跃了7年。该组织2015年12月（也有报告称早在2014年开始的）开始针对与中国南海问题相关的世界各国政府、军方和相关机构进行APT攻击。攻击一般以相关南海问题的文档为诱饵，诱使用户点击。如果用户没有安装补丁，文档打开后会嵌入执行CVE-2014-4114漏洞代码。从而部署攻击载体，绕过UAC，获得更高权限之后，以Meterpreter方式执行powersploit脚本。然后开始对文档和目标主机价值进行筛选判断，如果目标足够有价值，攻击者再次进行第二阶段攻击。"
17,2018 (134),,2018-11-08,Symantec,漏洞利用木马后门,Hidden CobraLazarus,赛门铁克研究人员透露，Lazarus组织在开展FASTCash攻击时，首先会找点入侵目标银行的网络，接着渗透进入负责ATM交易的交换应用服务器，最终在这些服务器上部署一些此前我们从未识别的恶意软件 – (Trojan.Fastcash) 。之后，Lazarus攻击人员会发起欺诈性的现金提取请求，其部署的恶意软件则负责请求拦截监听，并会向负责ATM交易的交换应用服务器返回假冒的请求响应，以此实现对ATM系统的现金窃取。
18,2018 (134),NSA泄露工具–DarkPulsar（被指控用于APT攻击）,2018-10-19,Kaspersky,漏洞利用,暂无数据,2018年10月19日，卡巴斯基发表报告称，发现NSA工具包中的DarkPulsar被用于APT攻击，DarkPulsar，是一个管理插件，是Shadow Brokers组织于2017年3月公布的NSA工具的一部分，包括DanderSpritz和FuzzBunch框架。作为FuzzBunch的ImplantConfig类别的一部分，其中包括用于后期开发阶段的插件，DarkPulsar是控制名为“ sipauth32.tsp ” 的被动后门，该后门提供对受感染机器的远程控制。 针对32位和64位系统的DarkPulsar后门被用于位于俄罗斯，伊朗和埃及的50名受害者，并且它通常会感染运行Windows Server 2003/2008的计算机。受害者大多是核能，电信，IT，航空航天和研发部门。
19,2018 (134),响尾蛇（SideWinder）APT组织采用更隐蔽的方式植入后门程序,2018-10-18,Sebdraven(persion),鱼叉攻击,T-APT-04响尾蛇,一种新型RTF文件被发现，它是用于创建其漏洞的相同工具集。该RTF利用CVE-2017-11882漏洞下载hta文件，并将其记录在caller.exe中。 Sidewinder放弃了HTA中的PowerShell，所有内容都是用vbs编写的。其目的是隐蔽性更强。因为许多恶意软件使用PowerShell，采用更隐蔽的方式也是防止被发现。
20,2018 (134),安全厂商披露针对韩国、美国和加拿大的Operation Oceansalt攻击,2018-10-18,McAfee,漏洞利用鱼叉攻击木马后门,暂无数据,McAfee研究人员披露针对韩国、美国和加拿大的新攻击活动Operation Oceansalt。研究人员观察到针对不同目标的5波攻击浪潮，攻击者使用的代码与8年前的黑客团伙APT1非常相似，但这并不意味着APT1已经卷土重来，也有可能是犯罪团伙之间共享了部分代码或原始代码被泄露或窃取，或者是攻击者故意设置的用于误导研究人员的False Flag。
21,2018 (134),以东亚为目标的危险活动追踪报告,2018-10-18,Cisco,漏洞利用鱼叉攻击木马后门,TickREDBALDKNIGHTBronze Butler,自2016年以来，思科的Talos组织就开始跟踪的一个曾使用apt对韩国和日本进行了网络攻击的组织。 这个小组有几个不同的名字：Tick，Redbaldknight和Bronze Butler。 尽管每个攻击都使用了自定义工具，但Talos已经发掘了他们工具底层反复使用的攻击手法，并从劫持相关命令和控制（C2）域的交叉部分中解析发现其为同一IP的不同攻击C2。 这些基础架构模式表明Datper，xxmm后门和Emdivi恶意软件系列之间存在相似之处。 在这篇文章中，我们将深入探讨这些相似之处，并研究这些攻击手法的具体过程。
22,2018 (134),MartyMcFly恶意软件：针对意大利海军工业的网络间谍活动,2018-10-17,YOROI,漏洞利用鱼叉攻击木马后门,暂无数据,10月9日至15日，Yoroi CERT的分析人员发现了几起针对意大利海军和国防工业的攻击。攻击者使用电子邮件作为传播媒介，通过发送特制的xls文件来感染受害者。该邮件精心设计，收件人是海军办公室，询问海军发动机备件价格，详细介绍了与真实发动机部件相匹配的发动机备件。该电子邮件还向受害者提供了两个附件，其中一个Microsoft.XLSX，是可用的发动机备件列表。攻击者要求受害者提供电子表格中所有备件的报价，因此，受害者需要打开附件中的Microsoft电子表格，只要打开这个Excel文件，电脑就会被感染。
23,2018 (134),GreyEnergy：APT组织BlackEnergy继任者,2018-10-17,ESET,鱼叉式邮件攻击漏洞攻击木马后门,GreyEnergy,黑客间谍组织BlackEnergy自2007年以来存在，在2015年引发一场重大停电而名声大噪，而GreyEnergy的活动记录也同时出现，ESET安全研究人员已跟踪观察它三年。另外2015年同期出现了另一个组织TeleBots——可能是2017年策划大规模NotPetya病毒的爆发的幕后黑手。最近研究人员认为该组织与破坏性强大的工业控制系统（ICS）恶意软件有关。ESET在分析报告中提出，BlackEnergy演变为两个独立的组织：TeleBots和GreyEnergy。 过去三年中，ESET观察到GreyEnergy参与了对乌克兰和波兰的攻击，攻击行为类型主要是网络侦查（即间谍行为），GreyEnergy的网络攻击目标是这两个国家的能源部门、交通运输部门等高价值对象。
24,2018 (134),OceanLotus组织使用的恶意程序分析报告,2018-10-17,BlackBerry,漏洞利用鱼叉攻击木马后门水坑攻击,APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,威胁研究人员发现了几个由Oceanlotus Group（APT32，Cobalt Kitty）部署的定制后门，以及使用CobaltStrike Beacon后门攻击的证据。攻击者通常在环境中利用PowerShell，使用程序下载/部署恶意软件，以及来自各种漏洞工具包（包括MSFvenom、Veil和Dkmc）的PE/Shellcode加载，大部分恶意软件都是在内存中运行，不需要磁盘占用。
25,2018 (134),瞄准中亚政治实体：针对Octopus恶意软件新样本的技术分析,2018-10-15,Kaspersky,漏洞利用鱼叉攻击木马后门,DustSquad,在过去的两年中，我们持续在监测一个针对中亚用户和外交实体的网络间谍活动，该活动使用的语言为俄文。我们将这一恶意活动背后的组织命名为DustSquad。我们监测到该组织在过去开展了4起恶意活动，在活动中使用了Android和Windows的恶意软件，我们此前已经向部分客户提供了这4起恶意活动的情报报告。在本文中，我们主要分析一个名为Octopus的恶意Windows恶意程序，该恶意程序主要针对外交实体。 该恶意程序最初是由ESET于2017年发现，他们在一些弃用的C&C服务器上找到了0ct0pus3.php脚本，该恶意程序也因此而得名。同时，我们也开始监控这一恶意软件，并使用基于相似性算法的Kaspersky Attribution Engine，发现了Octopus与DustSquad组织具有关联，并在2018年4月公布这一成果。根据我们的监测结果，可以追溯到2014年针对前苏联中亚共和国和阿富汗的恶意活动。
26,2018 (134),赛门铁克发现新的APT组织Gallmaker，目标锁定全球政府、军事、国防,2018-10-11,Symantec,漏洞利用鱼叉攻击木马后门,Gallmaker,赛门铁克最近新发现了一个以政府、军事、国防部门及东欧国家的海外使馆为攻击目标的APT组织，他们在攻击中有意隐藏身份，使用现有的攻击策略和公开的攻击工具，使得这一系列行为看起来与间谍活动性质极其类似。该组织被命名为Gallmaker，至少自2017年12月开始运营，最近一次的活动在2018年6月。
27,2018 (134),MuddyWater 组织扩大攻击范围,2018-10-10,Kaspersky,社工漏洞利用鱼叉攻击木马后门,MuddyWater,MuddyWater 组织首次在2017年被检测到，它的目标主要是位于伊朗和沙特阿拉伯的政府目标。该组织的归属问题似乎较难，而且今年又出现了很多和该组织相关的新攻击。最近，该组织被指攻击约旦、土耳其、阿塞拜疆和巴基斯坦的政府机构、军事实体、电信机构和教育机构。其它受害者也位于马里、奥地利、俄罗斯、伊朗和巴林。这些攻击都受地域政治驱动，针对的是敏感人员和组织机构。 这些攻击使用新的鱼叉式钓鱼文档并依靠社工诱骗用户启用恶意宏。恶意文档中使用密码保护以阻止分析，当被启用时它执行经混淆的 VBA 代码。该宏 payload 用 Base64 编码，将三个文件释放到 “ProgramData” 文件夹中并在当前用户的 RUN 密钥（HKCU）中添加注册表项确保用户下次登录时执行。有时，宏不断释放恶意 payload/进程，而不会等待用户下一次登录。
28,2018 (134),ESET曝光Lojax:首个被利用的UEFI rootkit案例,2018-09-27,ESET,病毒恶意软件,APT28SofacySednitAPT-C-20STRONTIUM奇幻熊Sofacy,ESET公开披露了据称是第一个在现实攻击活动中被捕获的UEFI rootkit，它具备很强的生存能力，即使是在受害者重装系统、更换硬盘之后也依然能够存活。此次被公开披露的这个UEFI rootkit便是黑客对LoJax软件稍作修改之后而来的，同样具备覆盖UEFI固件的能力，但改变了与Absolute Software服务器通信的后台进程，使得它会向Sednit组织的C&C服务器进行报告。如果你已经感染了该恶意软件，那么你能做的也就只剩下使用对应主板的干净固件映像重新刷新SPI闪存。这是一个非常繁琐的过程，必须手动进行且需要掌握相应的专业知识。还有一个更简单、直接的办法——更换受感染的主板。
29,2018 (134),疑似摩诃草组织最新攻击样本，使用新域名钓鱼用户主机名等基础信息,2018-09-27,360,暂无数据,Dropping ElephantDropping ElephantAPT-C-09白象 摩诃草,9月中上旬，360 CERT在处理恶意样本时发现一例疑似摩诃草组织的攻击样本。该样本C2指向filepiece.com。分析人员表示这可能是摩诃草组织一个新的，准备或正在投入使用的域名资产。该样本是一个Dropper。属于攻击链条的中间环节。其主要功能是获取目标对象的用户名、计算机名等基础信息。将这些基础信息编码后回传C2服务器，并从C2服务器下载下一阶段攻击载荷继续执行。并设置开启自启动。通过样本功能和代码结构的对比，研究人员确认该样本与摩诃草组织今年5月的攻击样本属于同源样本。filepiece.com域名在本次攻击中作为C2域名使用。持续跟踪显示，该域名在9月25日主页解析产生变化。由于主机空间提示信息路由地址尚存在，表明该域名正受到控制，也正在被使用。
30,2018 (134),毒云藤（APT-C-01）军政情报刺探者揭露,2018-09-20,360,漏洞攻击鱼叉攻击木马后门,APT-C-01APT-C-01毒云藤绿斑Green Spot,从2007年开始至今，360追日团队发现毒云藤组织对中国国防、政府、科技、教育以及海事机构等重点单位和部门进行了长达11年的网络间谍活动。该组织主要关注军工、中美关系、两岸关系和海洋相关领域，其关注的领域与我们之前发布的海莲花（OceanLotus）APT组织有一定相似的地方。 360追日团队捕获毒云藤的首个木马出现在2007年12月。在之后的11年中我们先后捕获到了13个版本的恶意代码，涉及样本数量73个。该组织在初始攻击环节主要采用鱼叉式钓鱼邮件攻击，攻击之前对目标进行了深入调研和精心挑选，选用与目标所属行业或领域密切相关的内容构造诱饵文件和邮件，主要是采用相应具体领域相关会议材料、研究成果或通知公告等主题。
31,2018 (134),LuckyMouse使用中国IT公司的证书签署恶意NDISProxy驱动程序,2018-09-10,Kaspersky,窃听钓鱼水坑式攻击木马后门,LuckyMouseEmissary PandaAPT27,卡巴斯基的安全专家观察到LuckyMouse APT（又名Emissary Panda，APT27和Threat Group 3390）在最近的攻击中使用了具有合法数字签名的32位和64位网络过滤驱动程序NDISProxy。 自2018年3月以来，发现了几例感染，在这些感染中未知的木马被注入lsass.exe系统进程内存。这些植入程序由拥有合法数字签名的32位和64位网络过滤驱动程序NDISProxy注入。这个驱动程序是使用属于中国的公司LeagSoft的数字证书签署的，LeagSoft是一家位于广东深圳的信息安全软件开发商。 本报告中描述的活动在中亚高层会议召开之前就已经开始，我们认为幕后的行动者仍然关注地区政治。
32,2018 (134),Domestic Kitten：针对伊朗的监控活动,2018-09-07,Check Point,窃听钓鱼水坑式攻击木马后门,暂无数据,Check Point发现一起2016年开始的监控活动，攻击目标为伊朗，攻击者的身份还不能确定，但研究人员推测这是一起来自伊朗政府的监控活动。根据攻击的目标、APP的属性和攻击基础设施判断应该来源于伊朗。熟悉政治的情报专家称伊斯兰革命卫队、内政部、情报部等伊朗政府组织都经常会进行这样的监视活动。事实上，这些监控程序是用于对伊朗政权稳定有威胁的个人和组织，包括内部持不同政见者和反对势力。在这场被CheckPoint命名为“Domestic Kitten”的活动中，攻击者主要通过一些虚假的诱饵内容来诱使目标下载某些应用程序，而这些应用程序毫无疑问地被嵌入了恶意代码。CheckPoint的分析指出，恶意代码实际上实现的是间谍功能，能够窃取有关目标的敏感信息。
33,2018 (134),OilRig继续攻击中东政府，并为OopsIE木马新增规避技术,2018-09-04,paloalto,漏洞攻击鱼叉攻击木马后门,APT34OilRig,伊朗黑客组织OilRig仍在继续使用他们所常用的工具和战术，针对中东地区的政府实体发动持续不断的攻击。 正如在最近几起攻击中所观察到的那样，该组织目前所使用的工具并非是其常用工具的完全复制品，而是更新升级后的新变种。例如，在最新发现的一起攻击中，钓鱼电子邮件的附件就包含了一个OopsIE木马（于2018年2月被Unit 42发现）的变种。 与之前的版本相比，虽然说这个新的OopsIE木马变种在通用功能方面基本上没有太多的变化，但增加了反分析和反虚拟机功能，能够进一步规避自动防御系统的检测。
34,2018 (134),双重感染，倍增乐趣,2018-08-30,Netscout,漏洞攻击鱼叉攻击木马后门,Cobalt Group,Cobalt Group（又名TEMP.Metastrike）自2016年以来一直活跃，涉嫌在数十个国家发起攻击。该组织主要针对金融机构，通常使用ATM恶意软件。研究人员还认为他们负责 对SWIFT银行系统的一系列攻击，对受影响的实体造成数百万美元的损失。 8月13日，ASERT观察到由经济动机的黑客组织积极推动新的活动。 我们认为正在进行的活动的目标机构位于东欧和俄罗斯。 活动广告系列利用鱼叉式网络钓鱼邮件获取条目。 这些电子邮件似乎来自金融供应商或合作伙伴，增加了感染的可能性。 该小组使用的工具可以绕过Window的防御。
35,2018 (134),趋势科技发现与Bahamut、Confucius和Patchwork有关的APT组织Urpage,2018-08-29,TrendMicro,漏洞攻击鱼叉攻击木马后门,Urpage,趋势科技通过分析新的攻击组织Urpage与APT组织Confucius、Patchwork以及Bahamut的相似之处，深入探讨了网络攻击之间可能存在的联系。Urpage主要针对乌尔都语和阿拉伯语的文字处理器InPage，其使用了与Confucius和Patchwork相同的Delphi后门组件，并使用了与Bahamut类似的恶意软件。许多相似之处和联系表明，这可能是一个单一的收费团队将其工具和服务出售给具有不同目的和目标的其它组织。
36,2018 (134),CeidPageLock：一个主要针对中国的恶意软件,2018-08-28,Check Point,漏洞攻击木马后门,暂无数据,Check Point在最新公布的一份报告中指出，在过去的几周里，他们一直在观察一个由RIG Exploit kit分发的rootkit（一种特殊的恶意软件，一般都和木马、后门等其他恶意程序结合使用），名为“CEIDPageLock”。 这个rootkit最初是由360安全中心在几个月前发现的，当时它被发现试图篡改受害者浏览器的主页。事实上，这正是CEIDPageLock的本质——一个浏览器劫持者。CEIDPageLock的主要功能就是篡改受害者的浏览器，并将其主页替换成一个虚假的2345.com网站页面——一个中文网址导航网站。虽然CEIDPageLock可能看起来只是非常复杂，且并不构成太大的威胁，但我们应该注意的是，它具备在内存操作时在受感染设备上执行代码的能力。再加上该恶意软件的持久性，使得它完全能够成为一个潜在的“完美”后门。
37,2018 (134),TURLA OUTLOOK 后门 ——一篇关于特殊Turla后门的分析报告,2018-08-23,ESET,漏洞攻击鱼叉攻击木马后门,WaterbugTurla,Turla是一个间谍组织，一直忙于攻击世界各地的外交官和军事目标。其中，最引人注目的受害者是2013年的芬兰外交部，2014年至2016年间的瑞士军工公司RUAG 以及最近在2017年底或2018年初的德国政府。攻击者使用的一些手段：他们使用电子邮件附件来控制恶意软件，并从系统中转移被盗数据。在此，我们发布我们对这个通过电子邮件发送的PDF附件控制的Turla后门深入分析。
38,2018 (134),AppleJeus行动：Lazarus用虚假安装程序及macOS恶意软件攻击交易所,2018-08-23,Kaspersky,漏洞利用水坑攻击,Hidden CobraLazarus,在APT领域，Lazarus组织一直盯着全世界各地的银行及其他金融公司。在过去几个月内，Lazarus已经成功攻陷了多家银行，渗透全球多家加密货币交易所以及金融科技公司。 卡巴斯基在调查被Lazarus攻击的某个加密货币交易所时，意外发现了一个线索。受害者最开始时被带有木马功能的密币交易软件所感染，而该木马借助邮箱传播到目标公司内部。调查结果表明，该公司中一名警惕性不高的员工从一个貌似合法的网站上下载了一个第三方应用，公司也因此感染了Fallchill这款恶意软件，该恶意软件已经有些年头，是Lazarus最近正在使用的一款工具。 为了确保操作系统不会导致感染失败，攻击者貌似非常努力，专门开发了适配其他操作系统的恶意软件，macOS系统也不例外。根据网站描述，适配Linux的版本也即将出炉，这貌似是我们首次看到该APT组织使用针对macOS的恶意软件。Lazarus组织已经拓宽了他们可以攻击的操作系统列表，非Windows平台的用户应该对此有所警醒。
39,2018 (134),黑客组织TA555分发恶意软件AdvisorsBot，具备多种反分析功能和信息窃取模块,2018-08-23,Proofpoint,暂无数据,TA555,Proofpoint的研究人员表示，他们最初在今年5月份检测了目的在于分发AdvisorsBot的垃圾电子邮件活动。到目前为止，这些电子邮件使用了多种不同的主题。主要被用于针对酒店、餐厅和电信行业，并且是由他们所追踪为TA555的黑客组织分发的。与大多数现代恶意软件一样，AdvisorsBot同样采用了多种反分析方法。其中，最有效的方法之一是使用垃圾代码（例如额外指令、条件语句和循环），从而大大减缓逆向工程的速度。Proofpoint的研究人员表示，他们在8月15日检测到的payload发生了很大的改变。攻击者使用了PowerShell和内嵌在PowerShell脚本中的NET.DLL对AdvisorsBot进行了重写。研究人员将这个变种标识为“PoshAdvisor”。虽然并不能确定这个黑客组织是否会在今后的活动中继续分发AdvisorsBot和PoshAdvisor，但这两个具备多种反分析功能和信息窃取模块的恶意软件是不容小视的。
40,2018 (134),韩国企业遭受供应链攻击,2018-08-21,TrendMicro,漏洞利用供应链攻击木马后门,暂无数据,趋势科技发现一起Operation Red Signature，这是针对韩国企业的信息窃取驱动的供应链攻击。攻击者破坏了远程支持解决方案提供商的更新服务器，以通过更新过程向其感兴趣的目标提供名为9002 RAT的远程访问工具。他们首先窃取了公司的证书，然后用它来签署恶意软件。如果客户端位于其目标组织的IP地址范围内，他们还将更新服务器配置来传送恶意文件。 9002 RAT还安装了其他恶意工具：Internet信息服务（IIS）6 WebDav（利用CVE-2017-7269）和一个SQL数据库密码转储器的漏洞利用工具。这些工具暗示了攻击者如何将数据存储在目标的Web服务器和数据库中。
41,2018 (134),美国recordedfuture公司称清华大学涉黑客攻击,2018-08-16,Recorded Future,暂无数据,暂无数据,美国网络安全公司“记录未来”公司称，在阿拉斯加贸易代表团访华前后数周，这群黑客利用中国清华大学的计算机攻击美国能源和通信公司以及阿拉斯加州政府。今年5月，由阿拉斯加州州长比尔·沃克率领的企业和经济机构代表团在中国访问一周。 报道称，这个贸易代表团涉及的机构成为中国黑客重点关注的对象，从而凸显了围绕日益加剧的美中贸易争端的紧张关系。
42,2018 (134),Red Eyes黑客组织浮出水面，疑为ProgamsByMe活动幕后策划,2018-08-16,AhnLab,暂无数据,APT37Group123ScarCruft,"Red Eyes黑客组织又被成为Geumseong121, Group 123, ScarCruft, APT37, Reaper以及Ricochet Chollima，主要针对韩国政府及媒体相关从业者，通常利用电子邮件、手机短信分发恶意的文件链接，钓鱼文档多使用伪造的政府要闻及时事政治吸引受害者上钩，也试图通过伪装Adobe&amp;Office的安全更新或是盗版程序攻击目标机构。近日，有研究人员通过该组织的恶意样本分析Red Eyes很可能就是是2015年ProgamsByMe行动的幕后策划者；或者至少与之直接或间接地联系在一起。"
43,2018 (134),Goblin Panda组织针对Bears组织,2018-08-02,Sebdraven(persion),恶意软件,HellsingGoblin Panda,Goblin Panda使用Sisfader RAT以针对Vietnameses Officials的相同开发技术瞄准俄罗斯电信公司。
44,2018 (134),apt攻击组织Gorgon近期活动,2018-08-02,paloalto,漏洞攻击鱼叉攻击木马后门,,Gorgon Group是一个被认为来自巴基斯坦的攻击组织。该组织在8月份由Palo Alto的Unit42团队进行了披露。和其他组织不同的是，该组织最常见的攻击是针对全球的外贸人士进行攻击，该组织还发现针对英国、西班牙、俄罗斯、美国等政府目标发起了攻击。
45,2018 (134),恶意文件目标越南官员,2018-08-01,Sebdraven(persion),恶意软件,暂无数据,中国黑客组织1937CN继续使用相同的TTP瞄准越南官员，并使用所使用的工具。该组用于创建RTF恶意文档的工具集与SideWinder具有相同的特性。
46,2018 (134),Bisonal恶意软件变种分析,2018-07-31,paloalto,漏洞攻击鱼叉攻击木马后门,暂无数据,5月初，Unit 42的研究人员发现一起针对俄罗斯国防公司和韩国企业的攻击活动，攻击活动中传播的恶意软件是Bisonal恶意软件的变种。Bisonal恶意软件从2014年就开始活跃了。Bisonal变种与之前的Bisonal恶意软件主要有三大不同，分别是C2通信的加密方法，网络通信和驻留机制的代码重写。 截止目前，研究人员只收集到该变种的14个样本，说明使用并不广泛。在攻击活动中，攻击者会诱使用户加载伪装为PDF文件的Windows可执行恶意软件。本文是针对俄罗斯和韩国的攻击活动的分析。
47,2018 (134),DarkHydrus利用恶意.iqy文件瞄准中东政府机构,2018-07-27,paloalto,漏洞攻击鱼叉攻击木马后门,DarkHydrus,Palo Alto Networks公司 Unit 42威胁研究团队深入调查了一起基于新型文件类型（.iqy）的有针对性的攻击活动，至少有一个位于中东地区的政府机构被作为了攻击目标。Unit 42表示，这起攻击活动是由一个之前未被报道过的黑客组织实施的，被他们追踪为“DarkHydrus”。Unit 42发现了更多的攻击痕迹，使他们相信该组织自2016年初以来就一直在使用他们目前仍在使用的恶意脚本开展活动。 Unit 42指出，这起攻击与他们之前观察到的攻击活动有所不同，因为在这起攻击中发送给目标组织的鱼叉式网络钓鱼电子邮件所使用的RAR文件附件（受密码保护）中包含的是恶意Web查询文件（.iqy）。
