,年份,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
10,2019 (398),有效数字证书被恶意利用，传播大灰狼远控木马,2019-12-27,瑞星,暂无数据,暂无数据,最近，瑞星研究人员发现一批病毒样本，样本携带有效的数字签名，且签名照名称与国内外的一些知名厂商一致。病毒使用了DLL劫持，进程注入，自带有效证书等多种手段来规避杀毒软件的查杀，故很难被察觉到。一旦中招，将被植入大灰狼远控木马(Ghost)。研究人员指出数字签名通常在以下两种情况会不再值得被信任：1.数字签名拥有者没有妥善保管签名用的私钥，导致证书泄露或者被攻击者窃取；2.证书颁发机构审核不严，攻击者向证书颁发机构提交伪造的公司资料，并成功的获取到了证书机构颁发了签有该公司信息的数字签名。
11,2019 (398),南亚地区 APT 组织 2019 年度攻击活动总结,2019-12-27,AntiyLabs,暂无数据,DonotAPT-C-35肚脑虫,"攻击活动的重点目标依旧是中国和巴基斯坦。但是与 2017、2018年的历史数据相比，其针对巴基斯坦的攻击活动呈现明显的上升趋势，而针对中国的攻击活动却稍有缓和。 初始入侵手段主要为社会工程学，按重要程度依次为鱼叉漏洞文档，鱼叉LNK文件，自解压程序，CHM文档，U盘等; 在代码执行阶段，除社会工程学直接诱导受害者执行程序外，其主要使用 Office 漏洞，使用频率最高的为CVE-2017-11882，其次是CVE-2018-0798; 在持久化方面上，其使用的技术均比较常见, 基本为：添加注册表启动项， 添加计划任务项，添加计划任务启动项；在命令和控制方面，较新的方法是使用了 Github 和 Feed43 这类共用平台下发C2 地址信息，其在 Github 或者 Feed43 上创建带有加密C2信息的XML文件，解密来获取新的C2 地址信息。 从技术方面总结，攻击者使用的恶意代码编码质量不高，在恶意代码武器库和攻击手法上与之前相比并没有较大改善。但攻击者正在部分攻击环节提高技术能力：寻找新的白利用手段、使用 JavaScript 脚本在内存加载.Net、尝试对原有恶意代码武器库进行改进，同时在社会工程学方面其做了大量工作，题材形式多样，极具诱惑力。"
12,2019 (398),钓鱼邮件伪装成葡萄牙财政税收部门，传播新木马Lampion,2019-12-26,Cofense,暂无数据,暂无数据,研究人员最近发现冒充葡萄牙政府财政税收部门传播网络钓鱼邮件的活动，电子邮件伪装成年度税收申报主题，分发名为Lampion的新木马，该木马看起来像是ChePro木马家族变体。当受害者单击电子邮件正文中的可用链接，就会从在线服务器下载恶意压缩文件，其中包含Lampion的初始下载脚本FacturaNovembro-4492154-2019-10_8.vbs，该脚本通过添加注释块进行了简单混淆，执行后，将下载P-19-2.dll文件(Lampion)和0.zip，并在Windows StartUp文件夹下创建.Ink文件来保持持久性。恶意软件收集计算机磁盘、打开的窗口、剪贴板和银行凭证的详细信息并发送到可用的C2。恶意软件受到VMProtect 3.x的保护，使分析人员无法反编译源代码，加大分析难度。
13,2019 (398),KONNI攻击活动持续，伪装韩国Android聊天应用KakaoTalk,2019-12-25,奇安信,暂无数据,暂无数据,奇安信威胁情报中心近日发现多起疑似针对韩国地区Android用户的恶意代码攻击活动。攻击者通过将恶意安卓应用伪装成韩国常用移动应用，从而诱导受害者安装使用。分析显示，此次攻击活动无论从攻击手法还是木马框架都与ESTsecurity披露的KONNI Android木马一致。 KONNI最早是思科安全团队于2017年7月披露的一种信息窃取木马，据分析其攻击活动可追溯至2014年，攻击目标通常与朝鲜有关。 KONNI Android木马是ESTsecurity在2019年8月披露的，研究人员发现了一个鱼叉式网络钓鱼攻击，该邮件伪装成韩国比特币交易所的通知。该恶意应用程序主要是窃取受害者手机设备上的信息，接受各种C2命令，检查计算机和移动设备的Web浏览器环境并访问门户网站或应用（隐藏手段之一），下载类似的恶意应用变体。
14,2019 (398),Gozi V3：通过自身的隐身性进行跟踪,2019-12-25,SophosLabs,暂无数据,暂无数据,"Gozi(又名Ursnif或ISFB)银行木马由于其源码泄露，其多种变体正在流行，而Gozi V3 版本使用无文件技术和多种规避策略，以尝试绕过端点防御技术。Gozi V3 通过垃圾邮件包含的链接进行分发，链接指向一个恶意文件，例如经过模糊处理的Visual Basic脚本，其充当一个dropper组件。dropper组件下载并执行具有有效数字签名的可执行文件(即Gozi加载程序)，该文件与C2通信，以获取主要的Gozi可执行文件。攻击者通过限制服务器端的有效负载交付，来避免研究人员获取有效负载，使用的方法：Gozi dropper只有在请求文件机器的IP地址被定位到垃圾邮件所定位的区域，并且请求在相对较短的时间内到达时才有效。攻击者通过删除第二阶段可执行文件的""DOS标头""和取消PE魔术值、节名(PE头的其他部分，如编译时间戳，仍然存在于内存中)，来逃避转储工具的搜索。有效负载将以PowerShell脚本的形式存储在注册表中，以避免传统的静态(磁盘上的文件)检测。在系统启动时，PowerShell脚本将Gozi worker注入到资源管理器进程中，再次访问C2服务器以进行窃取活动。"
15,2019 (398),钓鱼攻击活动利用磁盘映像文件，传播远控木马和信息窃取程序,2019-12-25,Trustwave,暂无数据,暂无数据,"国外研究人员发现最近的两个垃圾邮件活动，攻击者将恶意代码隐藏在磁盘映像格式文件中，将钓鱼链接指向该文件或者将该文件作为钓鱼邮件附件来进行恶意活动。第一个活动伪造联邦快递货运电子邮件，针对该公司的法国客户，电子邮件中包含电子邮件链接，其指向含有Nanocore RAT可执行文件的ISO文件。恶意可执行文件将创建Windows CLI工具""RegAsm""的新进程，并将恶意负载注入其中，然后与C2通信。第二个活动通过垃圾邮件，传播包含恶意DAA格式文件的发票，其中的可执行文件是最新版本的Remcos RAT v2.5.0 Pro，该RAT具有一项新功能，可清除浏览器的登录名和cookie，以帮助攻击者清除恶意活动痕迹。这两起活动均使用免费的动态DNS作为C2，例如duckdns和ddns。除了Remcos和Nanocore等远控木马外，活动中还传播信息窃取程序，例如Lokibot。"
16,2019 (398),恶意软件Raccoon被积极销售，用于窃取目标财务信息,2019-12-24,cybereason,暂无数据,暂无数据,国外研究人员最近揭露了信息窃取程序Raccoon的相关信息，该恶意软件自2019年4月以来一直在地下网络犯罪中积极销售，遵循恶意软件及服务模式，由俄罗斯的团队开发，该团队通过俄语黑客论坛和英语社区推广此软件。Raccoon通过Fallout漏洞利用工具包、带有恶意宏文档的网络钓鱼邮件或捆绑恶意软件感染目标。感染后，Raccoon加载程序会向C2服务器发送带有Base64编码参数bot_id和config_id的POST请求，验证bot_id后便会下载带有Raccoon有效负载。然后窃取感染系统存储的信用卡信息、加密货币钱包、浏览器数据和电子邮件凭据等数据。
17,2019 (398),"模块化恶意软件JsOutProx,可窃取 SymantecVIP 一次性密码",2019-12-24,YOROI,暂无数据,暂无数据,"研究人员发现了一种新的恶意软件，它似乎与主流黑客攻击软件无关，但具有很高攻击性，带有模块化功能结构，例如存在能够处理多重身份验证 （MFA） 的功能。样本起点是包含一万多行严重混淆代码的 Javascript 文件。它可以更新自身，重新启动自身，执行另一个JavaScript代码，其他VB脚本，甚至删除自身运行痕迹。分析显示恶意软件包含两部分：JavaScript接口，提供核心功能，以确保对目标计算机的访问，以及利用 .NET 依赖项的高级功能层。其中较有特点的插件包括： “ProcessPlugin” ，可以按 PID 和名称杀死进程，通过 WSH 或 WMI 创建新进程，还可以收集特定进程的内存转储，这说明攻击者可具从内存提取数据的能力；“DnsPlugin ”处理计算机的 DNS 配置，它可以将当前配置发送到 C2，也可设置新的配置； “Token”插件，该插件专为窃取 SymantecVIP 一次性密码而设计，这是许多企业环境采用的企业级单一登录服务中使用的多重身份验证技术；""Outlook""插件，使用常见信息窃取功能，使攻击者能够收集Outlook帐户信息和联系人列表；“Prompt”插件，可授权攻击者向受害者显示命令和控制服务器提供的自定义消息提示。"
18,2019 (398),大规模网络钓鱼活动仿冒加拿大银行，窃取用户银行登录凭据,2019-12-24,Check Point,暂无数据,暂无数据,Check Point最近监测到一个新的网络钓鱼活动，该活动冒充了加拿大皇家银行，向加拿大的多个组织和受害者发送包含恶意PDF附件的的电子邮件，该活动持续了至少两年。PDF附件使用皇家银行的徽标以及授权码，受害者可能需要为该授权码更新RBC Express在线银行系统的数字证书，当受害者点击文档中出现的任何URL时，就会被引导至一个仿冒RBC 官方网站的页面，要求输入RBC Express凭据。为了逃避检测，某些PDF文档受密码保护，并且将密码附加在电子邮件正文中。
19,2019 (398),新P2P僵尸网络Ｍozi，利用Telnet弱口令和漏洞传播,2019-12-24,360,暂无数据,暂无数据,研究人员最近发现一个P2P僵尸网络，根据其传播样本文件名称特征将其命名为Mozi。Mozi 僵尸网络依赖DHT协议建立一个P2P网络，通过ECDSA384以及XOR算法保证自身组件和P2P网络的完整性和安全性。恶意样本通过Telnet弱口令和一些已知的漏洞传播，例如CVE-2014-8361、CVE-2018-10561、CVE-2018-10562等。Ｍozi僵尸网络中的各个节点接收来自Botnet Master下发的指令执行，指令存在于名为Config的负载中，主要指令包括DDoS攻击、收集Bot信息、执行指定URL的payload、从指定的URL更新样本、执行系统或自定义命令。Ｍozi复用Gafgyt的代码实现了许多常见功能，如单一实例，修改进程名，网络流量放行。
20,2019 (398),BasBanke安卓银行木马再现，针对巴西窃取银行凭据,2019-12-24,BUGUROO,暂无数据,暂无数据,"最近，国外研究人员发现BasBanke(也称为Coybot)安卓银行木马再次活跃，目标是从巴西实体窃取银行凭据。该木马于2018年10月巴西大选时开始恶意活动，最近重新出现并使用了新样本。目前尚不清楚木马的感染媒介，但根据以往版本经验，可能是通过虚假的Facebook帖子和WhatsApp消息传播。其伪装成安卓或Google Play的假更新，要求用户提供登录权限，并在后台运行服务以接收用户在图形界面上执行操作时的通知。恶意软件使用Base64或者AES算法加密隐藏文本字符串。除此之外，还发现该木马发送感染设备信息时的HTTP请求方式和Windows木马""Pazera""的方式一致。尽管""Pazera""木马针对拉丁美洲，但BasBanke作者也可能是""Pazera""的开发者。"
21,2019 (398),黑客组织蔓灵花新移动端木马SlideRAT揭露,2019-12-23,360,木马后门,BITTERBITTER蔓灵花蔓灵花,360近期披露了蔓灵花组织的新型 Android 木马，并根据其C2特点将其命名为SlideRAT。该木马与2019年8月被发现，11月初，研究人员发现SlideRAT攻击了中国军工业从事人员，11月中旬，该家族样本开始攻击中国驻巴基斯坦人员。2016年6月开始，蔓灵花组织开始使用定制木马SlideRAT 针对中国和巴基斯坦展开了长期有组织、有计划的攻击活动。该组织在移动平台载荷投递的方式主要为水坑攻击和钓鱼链接，其次还会通过短信和 WhatsApp 进行载荷投递。SlideRAT主要使用图像处理相关的图标进行伪装，还会根据目标群体的特殊性，使用针对性的图标进行伪装。
22,2019 (398),MyKings僵尸网络传播cryptominers和Forshare恶意软件,2019-12-23,SophosLabs,暂无数据,暂无数据,SophosLabs最近披露了MyKings僵尸网络的最近活动趋势。该僵尸网络主要攻击基于Windows的服务器：MySQL，MS-SQL，Telnet，ssh，IPC，WMI，远程桌面(RDP)，甚至是智能摄像头设备。其中未打补丁的Windows服务器可能更容易受到攻击。MyKings僵尸网络提供名为Forshare的木马，目前观察到大约有43900个IP端点受到感染，感染最多的国家是中国、俄罗斯、巴西。最近发现该僵尸网络使用隐写术，将恶意负载隐藏在知名歌手Taylor Swift的图片中进行传播。
23,2019 (398),APT20组织攻击活动分析报告,2019-12-23,VeriSign,暂无数据,暂无数据,Fox-IT最近揭露了一个新的APT组织(APT20)的攻击活动，研究人员发现该活动针对数10个国家的政府机构、管理服务提供商、能源、医疗保健和高科技行业。该组织通常通过安全性不强的Web服务器(例如JBoss)获取目标网络的立足点。这些服务器通常已被其他攻击者放置了webshell。同时，该组织也会将自己的webshell上传到该服务器，以作为预防措施。一旦获取初始访问权限，攻击者就会在内网进行横向移动，例如从内存中转储凭据并访问受损系统上的密码管理器。攻击者未使用恶意后门作为命令和控制通道，而是使用窃取的凭证通过企业VPN解决方案连接到受害者的网络，并且通过滥用双因素身份验证(2FA)来维持持久性。该组织通常使用自定义工具来进行攻击活动，例如自定义的webshell、套接字通道、侦察脚本、后门(XServer)、目录列表工具、进程启动工具、枚举远程主机上的会话和用户的工具(CheckAdmin)和支持多个跃点的自定义代理工具(Agent)。根据相关特征推测，该组织疑似来自于中国地区。
24,2019 (398),蔓灵花（APT-C-08）移动平台攻击活动揭露,2019-12-19,360,暂无数据,BITTERBITTER蔓灵花蔓灵花,蔓灵花（APT-C-08）APT组织是一个长期针对中国、巴基斯坦等国家进行攻击活动的APT组织，主要攻击政府、电力和军工行业相关单位，以窃取敏感信息为主，具有强烈的政治背景，是目前活跃的针对境内目标进行攻击的境外APT组织之一。该组织最早在2016被国外安全公司进行了披露，并且命名为“BITTER”，同年360也跟进发布了分析报告，将该组织命名为“蔓灵花”。 迄今为止有数个国内外安全团队持续追踪并披露该组织PC端的最新攻击活动。 2019年8月，360烽火实验室在日常样本分析中发现一新型Android木马，根据其CC特点将其命名为SlideRAT，深入分析后发现该家族木马属于蔓灵花组织。此后，我们对该家族样本进行持续监控，2019年11初，我们发现SlideRAT攻击中国军工行业从事人员，11月中旬，该家族样本开始攻击中国驻巴基斯坦人员。短短半个月内，蔓灵花组织在移动平台至少进行了两次的攻击活动，且受害者均为中国人，我们猜测随着年关将近，该时间段为该组织针对我国攻击的高发期。鉴于此我们决定通过已有情报和数据，将该家族在移动平台的攻击活动进行揭露。
25,2019 (398),NetWire RAT木马利用Office漏洞传播,2019-12-19,腾讯,暂无数据,暂无数据,"腾讯安全御见威胁情报中心检测到利用钓鱼邮件传播NetWire RAT变种木马的攻击活跃。攻击者将""订单询价""主题的钓鱼邮件发送至受害者邮箱，附件中包括精心构造的利用Office漏洞(CVE-2017-8570)攻击的文档，一旦在存在漏洞的系统中打开附件，会立刻触发漏洞下载NetWire RAT木马。木马安装到受害系统后，会添加自身到系统启动项，搜集系统信息上传至服务器，然后接受控制端指令完成下载执行、搜集系统信息、搜集登录密码、记录键盘输入以及模拟鼠标键盘操作等行为。"
26,2019 (398),恶意Dropper程序Legion Loader，分发多种恶意软件,2019-12-19,Defence Review,暂无数据,暂无数据,"国外研究人员最近发现一个恶意Dropper程序，其分发了多种类型恶意软件，包括信息窃取、后门和内置的无文件加密货币窃取程序等。该Dropper程序被称为""Legion Loader""，使用C++编写，并且相关证据显示正处于积极开发中。""Legion Loader""运行后，首先会与指定的C2服务器沟通并下载第二阶段有效负载，有效负载通常托管在C2服务器上。下载完毕后，""Legion Loader""将执行一个经过模糊的PowerShell命令，该命令连接到C2服务器，并获取更多的Powershell代码，以对系统中进行扫描查看是否安装加密货币钱包和其他存储加密货币的凭证，如果存在，则将系统中的Powershell可执行文件复制到一个临时目录或者具有管理员特权的目录(逃避检测)，并再次请求C2获取无文件攻击需要的反射性加载.dll文件，以释放浏览器凭证收集程序。该活动同时针对美国和欧洲。"
27,2019 (398),行走的漏洞利用机器人：僵尸网络病毒携71个EXP占领高地,2019-12-18,奇安信,僵尸网络,暂无数据,僵尸网络 Botnet 是指采用一种或多种传播手段，将大量主机感染bot程序（僵尸程序）病毒，从而在控制者和被感染主机之间所形成的一个可一对多控制的网络。攻击者通过各种途径传播僵尸程序感染互联网上的大量主机，而被感染的主机将通过一个控制信道接收攻击者的指令，组成一个僵尸网络。之所以用僵尸网络这个名字，是为了更形象地让人们认识到这类危害的特点：众多的计算机在不知不觉中如同中国古老传说中的僵尸群一样被人驱赶和指挥着，成为被人利用的一种工具。而本文提到的一种最新的僵尸网络Mirai变种ECHOBOT，足足使用了71个漏洞利用(EXP)，将对每一个资产进行漏洞批量扫描，要知道，半年前还有13个漏洞并没有加入他们的利用库中，这比很多漏洞扫描工具的更新速度还要快。
28,2019 (398),Geerban勒索病毒正在爆破传播，还用了数十款密码抓取工具,2019-12-18,腾讯,勒索软件,暂无数据,腾讯安全御见威胁情报中心最近揭露，其客户公司遭遇勒索软件攻击，内网服务器文件被全盘加密，被加密文件全部被修改为.geer类型。经过分析，攻击者疑似通过RDP弱口令登录成功后分发病毒，并将系统日志全部清除，然后部署了一系列扫描、对抗、密码抓取工具，包括processhacker，Pchunter等，数量达十个之多。攻击者利用这些工具，对内网其它机器实施攻击，以扩大勒索病毒对该企业网络的破坏数量。该病毒使用了RSA+salsa20加密文件，暂无有效的解密工具。攻击者索要0.37比特币的解密赎金，市值约1.7万人民币。
29,2019 (398),勒索软件Zeppelin针对房地产商，滥用ScreenConnect功能传播,2019-12-18,morphisec,勒索软件,暂无数据,019年4月，攻击者滥用ConnectWise Control(称为ScreenConnect)远程桌面应用程序攻击了IT供应商Wipro，并且取得了Wipro的系统权限。ScreenConnect是一个Web应用程序远程桌面控制工具，旨在使IT管理员可以管理远程计算机并在用户计算机上远程执行命令。最近，研究人员发现ScreenConnect再次被当作传播机制用于攻击活动中，并且传播最新VegaLocker勒索软件变体Zeppelin。ScreenConnect服务每次在ScreenConnect CMD shell中执行命令时，都会创建一个临时的隐藏run.cmd文件执行，该文件包含远程执行的命令。这个cmd文件名还附加在当前ID命令会话中，以便将输出关联回ScreenConnect。攻击者执行PowerShell命令，从C2(hxxp://45.142.213[.]167/oxf)下载接下来的命令，并下载Zeppelin组件。该攻击活动针对房地产商。
30,2019 (398),瑞士军刀级恶意软件，可利用RDP协议，投递多种勒索软件、矿工和木马,2019-12-18,Bitdefender,暂无数据,暂无数据,Bitdefender研究人员最近发现恶意攻击者可通过滥用RDP服务中的一项合法功能，作为无文件攻击手段，植入用于设备指纹识别的工具和各种恶意软件有效载荷，范围从勒索软件和加密货币矿工到信息窃取。攻击媒介为Windows远程桌面服务器。 RDP客户端能够在其计算机上共享驱动盘符，该驱动盘符充当本地虚拟网络上的资源。 攻击者能够将共享目录用作基于RDP协议的数据渗透机制。 通过使用位于“ tsclient1”（终端服务器客户端）网络位置的现成组件，攻击者可以使用“ explorer.exe”或“ cmd.exe”执行该组件，并使用其下载其他恶意软件。恶意软件中的“ worker.exe”组件提供了广泛的功能，主要用于数据收集。 它的功能范围从收集系统信息（例如，体系结构，CPU模型和核数，RAM大小，Windows版本等）到截图，收集受害者的IP地址和域名，提取有关默认浏览器和特定开放端口的信息，而且带有反侦查和逃避检测命令。该恶意软件包已被检测到可能与一个或多个网络罪犯团伙相关联，提供至少三个不同版本的剪贴板式窃取程序，勒索软件（Rapid Ransomware和Nemty勒索软件），Monero加密货币矿工和 一种非常流行的特洛伊木马程序（AZORult）。
31,2019 (398),Lazarus Group使用Dacls RAT攻击Linux平台,2019-12-17,360,暂无数据,APT-C-26,Dacls是一款新型的远程控制软件，包括Windows和Linux版本并共用C2协议，我们将它们分别命名为Win32.Dacls和Linux.Dacls。它的功能模块化，C2协议使用TLS和RC4双层加密，配置文件使用AES加密并支持C2指令动态更新。其中Win32.Dacls的插件模块是通过远程URL动态加载，而Linux版本的插件是直接编译在Bot程序里。我们已经确认在Linux.Dacls中包含6个插件模块：执行命令，文件管理，进程管理，测试网络访问，C2连接代理，网络扫描。
32,2019 (398),Rancor使用新恶意软件Dudell，攻击东南亚地区,2019-12-17,paloalto,暂无数据,暂无数据,2018年6月下旬，Unit 42发现了网络间谍组织Rancor，该组织在2017年和2018年期间在东南亚进行了有针对性的攻击。研究人员继续观察到该组织从2018年12月至 2019年1月持续针对柬埔寨一个政府组织发起了攻击，从中发现新的自定义恶意软件家族Dudell。Dudell代码隐藏在Microsoft Excel文档中，通过钓鱼邮件传播，利用宏加载执行脚本，下载有效负载。 此外，该黑客组织还使用了Derusbi和KHRat，Derusbi是一个恶意软件家族。
33,2019 (398),APT34定制后门样本Poison Frog，伪装成Cisco AnyConnect,2019-12-17,Kaspersky,暂无数据,APT34OilRig,研究人员发现了APT34的定制后门样本Poison Frog，样本包含了DNS和HTTP后门两部分（base64编码），通过系统计划任务实现持久驻留。其中的Poison Frog HTTP后门是一段只有59行的PowerShell脚本，功能简单：向C2发送受害机器的UID，根据C2返回值确定如何操纵某个特定文件。DNS后门部分则是通过335行代码，实现在系统上执行命令以及将文件保存到系统。恶意软件伪装成合法的Cisco AnyConnect应用程序，但在现实实现中有一些错误。例如，每次点击程序时会弹出窗口（合法程序不会）。研究者还发现攻击者一些草率的错误，如，输入错误，编译日期晚于被发现日期。
